num,reg,pos,loc,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,5,24, 1054725,benign, 609, 22, 8568, 0, 5830, 2697, 1, 464, 699, 0, 197, 33718, 397, 3, 43, 7447, 320, 444, 5, 13439, 9453, 19502, 0, 0, 25, 4771, 4962, 8485, 42, 0, 0, 18, 20, 158, 4, 34531, 25347, 28840, 2, 0, 0, 317
1,6,10, 1055248,benign, 667, 148, 8572, 4, 5827, 2689, 1, 464, 699, 0, 194, 33249, 397, 3, 42, 7369, 289, 442, 5, 13124, 9186, 19494, 0, 0, 25, 4768, 4942, 8479, 41, 0, 0, 18, 20, 159, 4, 33993, 25791, 29084, 2, 0, 0, 317
2,5,31, 1054426,benign, 658, 146, 8573, 0, 5830, 2699, 1, 464, 699, 0, 199, 33155, 397, 3, 41, 7161, 295, 452, 5, 13166, 9253, 19485, 0, 0, 25, 4794, 4853, 8501, 42, 0, 0, 18, 20, 348, 3, 34276, 25655, 28985, 2, 0, 0, 317
3,0,5, 1060216,benign, 486, 147, 8555, 4, 5825, 2691, 2, 464, 699, 0, 191, 32994, 397, 3, 42, 6366, 302, 437, 5, 12735, 8712, 19477, 0, 0, 25, 4578, 5166, 8476, 36, 0, 0, 18, 20, 161, 2, 33613, 25278, 28601, 2, 0, 0, 446
4,2,28, 1055829,benign, 707, 147, 8570, 0, 5824, 2687, 2, 464, 700, 0, 207, 33997, 397, 3, 41, 7130, 289, 444, 5, 13552, 9531, 19501, 0, 0, 25, 4794, 4990, 8491, 42, 0, 0, 18, 20, 160, 3, 34244, 25717, 28983, 2, 0, 0, 319
5,9,13, 1050765,benign, 546, 147, 8563, 0, 5830, 2694, 3, 464, 699, 0, 196, 33228, 397, 3, 41, 6737, 322, 502, 5, 13526, 9489, 19516, 0, 0, 25, 4958, 4649, 8475, 42, 0, 0, 18, 20, 160, 3, 34143, 25325, 28658, 2, 0, 0, 317
6,3,14, 1054374,SDC, 660, 147, 8561, 0, 5821, 2690, 1, 464, 694, 0, 202, 33779, 392, 3, 42, 7231, 309, 445, 5, 13727, 9759, 19492, 0, 0, 25, 4780, 4818, 8486, 42, 0, 0, 18, 20, 158, 4, 34436, 25925, 29202, 2, 0, 0, 317
7,5,16, 1060171,benign, 515, 149, 8554, 0, 5820, 2692, 2, 464, 699, 0, 190, 33258, 397, 3, 39, 6514, 289, 581, 5, 13014, 9046, 19511, 0, 0, 25, 4571, 5166, 8464, 34, 0, 0, 18, 20, 152, 2, 33985, 25240, 28587, 1, 0, 0, 384
8,10,26, 1057369,benign, 750, 149, 8568, 0, 5824, 2687, 2, 464, 699, 0, 200, 34026, 397, 3, 43, 7933, 334, 444, 5, 14052, 9882, 19526, 0, 0, 25, 4909, 4698, 8487, 42, 0, 0, 18, 20, 157, 3, 34439, 25774, 29116, 2, 0, 0, 319
9,9,25, 1055270,benign, 694, 149, 8568, 0, 5830, 2694, 1, 464, 699, 0, 199, 33832, 397, 3, 40, 7058, 331, 506, 5, 13172, 9165, 19525, 0, 0, 25, 4720, 4886, 8484, 42, 0, 0, 18, 20, 160, 4, 34341, 25835, 29178, 2, 0, 0, 317
10,5,4, 1050240,benign, 510, 147, 8550, 4, 5826, 2692, 3, 464, 699, 0, 203, 33242, 397, 3, 42, 6447, 413, 444, 5, 13044, 9041, 19479, 0, 0, 25, 4897, 4970, 8485, 42, 0, 0, 18, 20, 158, 4, 34042, 25115, 28416, 2, 0, 0, 317
11,0,15, 1049976,benign, 503, 146, 8558, 4, 5828, 2689, 2, 464, 699, 0, 202, 33340, 397, 3, 43, 6640, 338, 451, 5, 12897, 8892, 19474, 0, 0, 25, 4451, 5144, 8486, 42, 0, 0, 18, 20, 166, 3, 33848, 25108, 28618, 2, 0, 0, 317
12,1,0, 1060330,benign, 517, 145, 8556, 0, 5829, 2684, 3, 464, 699, 0, 192, 33075, 397, 3, 41, 6586, 332, 511, 5, 12977, 8914, 19525, 0, 0, 25, 4441, 5165, 8478, 42, 0, 0, 18, 20, 153, 2, 33663, 25023, 28497, 1, 0, 0, 317
13,0,11, 1055053,benign, 676, 147, 8575, 0, 5826, 2695, 1, 464, 699, 0, 195, 34119, 397, 3, 41, 7158, 316, 456, 5, 13990, 9976, 19513, 0, 0, 25, 4728, 4877, 8484, 40, 0, 0, 18, 20, 158, 3, 34368, 25525, 28780, 2, 0, 0, 389
14,0,21, 1058594,benign, 790, 149, 8574, 0, 5823, 2687, 2, 464, 699, 0, 200, 34368, 397, 3, 43, 7703, 302, 602, 5, 13884, 9912, 19524, 0, 0, 25, 4782, 4937, 8487, 42, 0, 0, 18, 20, 159, 3, 34878, 26286, 29591, 2, 0, 0, 447
15,10,23, 1059943,benign, 818, 148, 8579, 0, 5831, 2697, 2, 464, 699, 0, 205, 34337, 397, 3, 41, 7523, 315, 445, 5, 13862, 9953, 19543, 0, 0, 25, 4709, 4897, 8493, 42, 0, 0, 18, 20, 159, 3, 34737, 25848, 29321, 2, 0, 0, 317
16,10,9, 1051635,benign, 571, 147, 8564, 0, 5826, 2691, 2, 464, 699, 0, 201, 33449, 397, 3, 43, 7315, 319, 450, 5, 13474, 9496, 19485, 0, 0, 25, 4724, 4880, 8486, 42, 0, 0, 18, 20, 304, 4, 34561, 25167, 28406, 2, 0, 0, 377
17,7,28, 1059344,benign, 790, 148, 8578, 4, 5824, 2690, 2, 464, 700, 0, 200, 33955, 397, 3, 42, 7544, 328, 443, 5, 13760, 9788, 19473, 0, 0, 25, 4940, 5122, 8479, 42, 0, 0, 18, 20, 160, 3, 34463, 25485, 28678, 2, 0, 0, 376
18,9,11, 1057653,benign, 761, 148, 8574, 0, 5826, 2685, 1, 464, 699, 0, 195, 34265, 397, 3, 40, 7313, 282, 436, 5, 14327, 10340, 19543, 0, 0, 25, 4741, 4892, 8490, 42, 0, 0, 18, 20, 158, 3, 34522, 25669, 28942, 2, 0, 0, 384
19,1,6, 1053411,benign, 630, 146, 8562, 0, 5827, 2694, 1, 464, 699, 0, 197, 33509, 397, 3, 42, 7107, 318, 513, 5, 13598, 9633, 19493, 0, 0, 25, 4906, 4690, 8481, 42, 0, 0, 18, 20, 268, 3, 34284, 25140, 28462, 2, 0, 0, 412
20,9,4, 1050853,benign, 554, 149, 8552, 0, 5827, 2690, 2, 464, 699, 0, 197, 33738, 397, 3, 44, 6872, 326, 443, 5, 13453, 9426, 19522, 0, 0, 25, 4714, 4885, 8484, 42, 0, 0, 18, 20, 160, 3, 33852, 25518, 28788, 2, 0, 0, 375
21,1,11, 1057824,benign, 748, 148, 8579, 4, 5829, 2690, 1, 464, 699, 0, 198, 34145, 397, 3, 42, 7743, 322, 503, 5, 13485, 9447, 19478, 0, 0, 25, 4784, 4946, 8490, 41, 0, 0, 18, 20, 233, 3, 34454, 25622, 29132, 2, 0, 0, 319
22,4,15, 1053502,benign, 636, 149, 8559, 0, 5823, 2691, 1, 464, 699, 0, 200, 33974, 397, 3, 40, 6900, 319, 437, 5, 13685, 9663, 19504, 0, 0, 25, 4773, 4825, 8483, 42, 0, 0, 18, 20, 153, 2, 34042, 25398, 28656, 1, 0, 0, 324
23,6,17, 1051872,benign, 561, 147, 8557, 4, 5828, 2693, 1, 464, 699, 0, 199, 33617, 397, 3, 42, 7005, 327, 512, 5, 13229, 9287, 19466, 0, 0, 25, 4717, 4873, 8489, 42, 0, 0, 18, 20, 158, 3, 33744, 25049, 28322, 2, 0, 0, 317
24,5,2, 1057352,benign, 735, 148, 8576, 4, 5832, 2688, 1, 464, 699, 0, 200, 33841, 397, 3, 41, 7328, 451, 445, 5, 13437, 9465, 19489, 0, 0, 25, 4778, 4943, 8482, 42, 0, 0, 18, 20, 159, 3, 34404, 25882, 29324, 2, 0, 0, 319
