num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r1,18, 1056769, 1084,"  102000:	e51b3010 	ldr	r3, [fp, #-16]",benign, 483, 38, 10211, 2, 6853, 2708, 1, 572, 760, 0, 222, 54583, 555, 3, 47, 8032, 382, 430, 3, 32937, 10830, 21285, 0, 0, 32, 4767, 5397, 9641, 79, 0, 0, 19, 23, 143, 2, 55058, 46679, 49764, 1, 0, 0, 326,-
1,r2,22, 1052929, 1063,"  101100:	e0822003 	add	r2, r2, r3",benign, 566, 161, 10227, 2, 6854, 2708, 1, 572, 759, 0, 214, 53930, 555, 3, 47, 7588, 371, 417, 5, 33299, 11157, 21275, 0, 0, 32, 4979, 5590, 9638, 78, 0, 0, 19, 22, 134, 2, 55300, 46541, 49674, 1, 0, 0, 318,-
2,r2,27, 1055050, 1061,"  101948:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4",benign, 570, 165, 10213, 2, 6849, 2709, 0, 572, 760, 0, 216, 54400, 555, 3, 46, 7848, 387, 419, 5, 32510, 10425, 21291, 0, 0, 32, 4972, 5220, 9630, 80, 0, 0, 19, 22, 134, 2, 54777, 46880, 49984, 1, 0, 0, 318,-
3,r3,31, 1053568, 1067,"  101380:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8",benign, 566, 169, 10204, 2, 6849, 2712, 1, 572, 759, 0, 212, 53901, 555, 3, 47, 7546, 379, 440, 3, 33128, 10992, 21340, 0, 0, 32, 5297, 4891, 9635, 78, 0, 0, 17, 20, 133, 2, 55061, 46651, 49744, 1, 0, 0, 316,-
4,r2,10, 1055278, 1062,"  101a2c:	e0822003 	add	r2, r2, r3",benign, 778, 379, 10216, 2, 6848, 2709, 1, 572, 760, 0, 213, 54365, 555, 3, 48, 7575, 409, 424, 4, 33055, 10695, 21311, 0, 0, 32, 4783, 5392, 9646, 78, 0, 0, 19, 22, 135, 2, 55341, 46601, 49666, 1, 0, 0, 316,-
5,r3,11, 1056446, 1063,"  101ebc:	e3483f1b 	movt	r3, #36635	; 0x8f1b",benign, 573, 183, 10208, 2, 6850, 2711, 1, 572, 759, 0, 213, 54396, 555, 3, 47, 7736, 404, 423, 3, 32822, 10708, 21330, 0, 0, 32, 4774, 5393, 9638, 78, 0, 0, 19, 22, 134, 2, 54495, 46399, 49532, 1, 0, 0, 322,-
6,r0,19, 1058216, 1066,"  1025a8:	e50b3014 	str	r3, [fp, #-20]	; 0xffffffec",benign, 569, 162, 10216, 2, 6855, 2712, 0, 572, 759, 0, 216, 54034, 555, 3, 46, 8121, 372, 420, 3, 32823, 10608, 21294, 0, 0, 32, 4792, 5394, 9641, 78, 0, 0, 19, 20, 134, 2, 54655, 46364, 49477, 1, 0, 0, 327,-
7,r2,11, 1061147, 1063,"  103118:	e0820003 	add	r0, r2, r3",benign, 561, 160, 10210, 2, 6850, 2710, 1, 572, 759, 0, 211, 54549, 555, 3, 48, 8195, 382, 417, 4, 32533, 10437, 21308, 0, 0, 32, 4774, 5382, 9634, 79, 0, 0, 19, 22, 134, 2, 54558, 46805, 49969, 1, 0, 0, 329,-
8,r0,22, 1060113, 1061,"  102d10:	e0233001 	eor	r3, r3, r1",benign, 569, 165, 10209, 2, 6851, 2711, 1, 572, 760, 0, 222, 54717, 555, 3, 46, 7774, 550, 420, 4, 33162, 10977, 21278, 0, 0, 32, 4971, 5202, 9638, 80, 0, 0, 19, 23, 134, 2, 54543, 46322, 49379, 1, 0, 0, 318,-
9,r3,25, 1057686, 1067,"  102394:	e3483f1b 	movt	r3, #36635	; 0x8f1b",benign, 571, 168, 10203, 2, 6849, 2709, 1, 572, 760, 0, 213, 54555, 555, 3, 46, 8126, 388, 439, 4, 32774, 10688, 21273, 0, 0, 32, 5229, 4965, 9630, 79, 0, 0, 19, 21, 134, 2, 54886, 46660, 49744, 1, 0, 0, 317,-
