num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r0,12, 1059607, 1076,"  102b14:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 483, 36, 10202, 2, 6852, 2709, 0, 572, 759, 0, 221, 54164, 555, 3, 46, 7983, 520, 436, 4, 32965, 11021, 21331, 0, 0, 32, 5453, 4699, 9649, 83, 0, 0, 19, 24, 127, 2, 55031, 46920, 50197, 1, 0, 0, 319,-
1,r0,17, 1058935, 1061,"  102874:	e51b305c 	ldr	r3, [fp, #-92]	; 0xffffffa4",benign, 562, 165, 10227, 2, 6855, 2707, 0, 572, 760, 0, 218, 54095, 555, 3, 44, 8009, 339, 427, 4, 33146, 10855, 21310, 0, 0, 32, 5465, 4696, 9646, 81, 0, 0, 19, 24, 135, 2, 55083, 46832, 50024, 1, 0, 0, 323,-
2,r1,7, 1055610, 1066,"  101b78:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 566, 167, 10203, 2, 6862, 2711, 0, 572, 760, 0, 229, 53990, 555, 3, 46, 8106, 366, 418, 5, 32820, 10824, 21363, 0, 0, 32, 5480, 4670, 9646, 83, 0, 0, 19, 24, 136, 2, 55131, 46540, 49681, 1, 0, 0, 323,-
3,r3,23, 1051768, 1063,"  100c78:	e1a03163 	ror	r3, r3, #2",benign, 557, 160, 10202, 2, 6859, 2707, 0, 572, 760, 0, 222, 53962, 555, 3, 45, 8133, 367, 424, 4, 33122, 11043, 21332, 0, 0, 32, 5470, 4706, 9650, 80, 0, 0, 19, 25, 126, 2, 54702, 46848, 50210, 1, 0, 0, 324,-
4,r2,5, 1051023, 1068,"  10098c:	e51b2168 	ldr	r2, [fp, #-360]	; 0xfffffe98",benign, 588, 177, 10213, 2, 6857, 2708, 0, 572, 759, 0, 223, 54432, 555, 3, 49, 8169, 483, 429, 5, 32587, 10601, 21295, 0, 0, 32, 5477, 4712, 9650, 80, 0, 0, 19, 24, 133, 2, 54913, 46782, 50011, 1, 0, 0, 320,-
5,r3,2, 1060171, 1062,"  102d48:	e50b3014 	str	r3, [fp, #-20]	; 0xffffffec",benign, 596, 202, 10221, 2, 6856, 2708, 0, 572, 760, 0, 224, 54612, 555, 3, 44, 7732, 546, 426, 4, 32766, 10814, 21341, 0, 0, 32, 5487, 4679, 9634, 80, 0, 0, 19, 25, 127, 2, 54720, 46892, 50045, 1, 0, 0, 322,-
6,r1,14, 1056891, 1063,"  102078:	e0011003 	and	r1, r1, r3",benign, 558, 168, 10213, 2, 6849, 2708, 0, 572, 760, 0, 223, 54522, 555, 3, 46, 8035, 368, 418, 6, 33257, 10965, 21353, 0, 0, 32, 5542, 4639, 9638, 80, 0, 0, 19, 24, 136, 2, 54921, 46811, 50131, 1, 0, 0, 326,-
7,r2,24, 1059278, 1062,"  1029cc:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 568, 169, 10231, 2, 6859, 2709, 0, 572, 760, 0, 225, 54698, 555, 3, 45, 8238, 364, 474, 4, 32731, 10795, 21347, 0, 0, 32, 5285, 4883, 9662, 85, 0, 0, 19, 23, 126, 2, 55002, 46544, 49793, 1, 0, 0, 319,-
8,r3,31, 1058072, 1065,"  102518:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8",benign, 566, 166, 10209, 2, 6859, 2711, 1, 572, 760, 0, 227, 54420, 555, 3, 44, 7718, 367, 474, 5, 32645, 10528, 21315, 0, 0, 32, 5487, 4695, 9645, 82, 0, 0, 19, 24, 137, 2, 55227, 46813, 50120, 1, 0, 0, 323,-
9,r0,27, 1055680, 1062,"  101bc0:	e0233001 	eor	r3, r3, r1",benign, 542, 159, 10204, 2, 6861, 2711, 0, 572, 760, 0, 225, 54492, 555, 3, 45, 8132, 374, 426, 4, 33113, 11097, 21286, 0, 0, 32, 5469, 4701, 9646, 80, 0, 0, 19, 25, 126, 2, 54918, 46642, 49774, 1, 0, 0, 323,-
10,r2,3, 1056194, 1068,"  101dc0:	e0823003 	add	r3, r2, r3",benign, 561, 167, 10207, 2, 6855, 2706, 0, 572, 760, 0, 232, 54722, 555, 3, 48, 7790, 410, 475, 4, 33020, 10996, 21321, 0, 0, 32, 5530, 4752, 9641, 83, 0, 0, 19, 23, 137, 2, 55603, 46996, 50184, 1, 0, 0, 372,-
11,r3,28, 1055066, 1063,"  101958:	e0823003 	add	r3, r2, r3",benign, 593, 198, 10210, 2, 6852, 2706, 0, 572, 760, 0, 219, 54017, 555, 3, 45, 7906, 521, 426, 4, 33119, 10851, 21336, 0, 0, 32, 5492, 4691, 9640, 80, 0, 0, 19, 25, 136, 2, 54674, 46444, 49634, 1, 0, 0, 323,-
12,r3,5, 1057457, 1067,"  1022b0:	e51b3010 	ldr	r3, [fp, #-16]",benign, 570, 167, 10210, 2, 6862, 2712, 0, 572, 759, 0, 225, 54422, 555, 3, 46, 8054, 364, 425, 6, 32777, 10702, 21334, 0, 0, 32, 5486, 4710, 9650, 83, 0, 0, 19, 24, 126, 2, 54603, 46474, 49668, 1, 0, 0, 317,-
13,r0,30, 1054691, 1067,"  1017e0:	e1a02de3 	ror	r2, r3, #27",benign, 551, 159, 10207, 2, 6852, 2709, 0, 572, 759, 0, 231, 54432, 555, 3, 45, 7739, 366, 466, 3, 32640, 10706, 21304, 0, 0, 32, 5497, 4677, 9652, 81, 0, 0, 19, 25, 127, 2, 55077, 46587, 49732, 1, 0, 0, 326,-
14,r3,27, 1055424, 1065,"  101ac0:	e51b300c 	ldr	r3, [fp, #-12]",benign, 821, 418, 10222, 2, 6855, 2707, 0, 572, 760, 0, 219, 54454, 555, 3, 44, 7843, 349, 416, 5, 33145, 11064, 21330, 0, 0, 32, 5470, 4677, 9630, 80, 0, 0, 19, 24, 127, 2, 54680, 46434, 49698, 1, 0, 0, 331,-
15,r2,29, 1057565, 1063,"  10231c:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 562, 167, 10228, 2, 6866, 2707, 0, 572, 759, 0, 221, 54214, 555, 3, 45, 7798, 365, 427, 4, 32795, 10649, 21324, 0, 0, 32, 5545, 4719, 9646, 82, 0, 0, 19, 24, 136, 2, 54899, 46940, 50301, 1, 0, 0, 316,-
16,r2,23, 1056979, 1070,"  1020d0:	e50b3010 	str	r3, [fp, #-16]",benign, 570, 168, 10219, 2, 6858, 2706, 0, 572, 759, 0, 229, 54127, 555, 3, 46, 7884, 443, 423, 4, 32973, 10628, 21360, 0, 0, 32, 5490, 4693, 9640, 81, 0, 0, 19, 23, 126, 2, 54921, 46745, 49884, 1, 0, 0, 324,-
17,r3,28, 1059742, 1069,"  102b9c:	e51b300c 	ldr	r3, [fp, #-12]",benign, 612, 216, 10202, 2, 6858, 2708, 0, 572, 760, 0, 227, 54479, 555, 3, 45, 7790, 606, 421, 4, 33138, 11179, 21385, 0, 0, 32, 5493, 4670, 9651, 83, 0, 0, 19, 24, 145, 2, 55206, 46641, 49825, 1, 0, 0, 324,-
18,r1,5, 1057244, 1069,"  1021dc:	e51b1014 	ldr	r1, [fp, #-20]	; 0xffffffec",benign, 569, 168, 10221, 2, 6864, 2710, 0, 572, 760, 0, 229, 53992, 555, 3, 45, 7733, 594, 425, 4, 32630, 10691, 21319, 0, 0, 32, 5511, 4742, 9641, 81, 0, 0, 19, 23, 127, 2, 55032, 46692, 49918, 1, 0, 0, 316,-
19,r1,9, 1057191, 1069,"  1021a4:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 561, 167, 10231, 2, 6860, 2709, 0, 572, 760, 0, 222, 54490, 555, 3, 46, 8218, 423, 469, 4, 32849, 10744, 21312, 0, 0, 32, 5309, 4861, 9644, 80, 0, 0, 19, 25, 136, 2, 54836, 46381, 49498, 1, 0, 0, 325,-
20,r0,16, 1053108, 1063,"  1011b4:	e50b300c 	str	r3, [fp, #-12]",benign, 613, 217, 10216, 2, 6859, 2708, 0, 572, 759, 0, 223, 54440, 555, 3, 45, 8206, 364, 410, 3, 32547, 10631, 21328, 0, 0, 32, 5231, 4947, 9649, 81, 0, 0, 19, 23, 181, 2, 54922, 46908, 50044, 1, 0, 0, 323,-
21,r2,24, 1060809, 1066,"  102fc8:	e5932014 	ldr	r2, [r3, #20]",benign, 582, 186, 10215, 2, 6854, 2707, 0, 572, 760, 0, 227, 54375, 555, 3, 46, 7701, 427, 414, 5, 33166, 10922, 21335, 0, 0, 32, 5300, 4888, 9647, 83, 0, 0, 19, 23, 126, 2, 55020, 46845, 50006, 1, 0, 0, 317,-
22,r2,8, 1061027, 1069,"  1030a0:	e92d4800 	push	{fp, lr}",benign, 610, 215, 10207, 2, 6856, 2708, 0, 572, 760, 0, 225, 54246, 555, 3, 46, 8239, 374, 423, 4, 32914, 11001, 21334, 0, 0, 32, 5517, 4744, 9644, 84, 0, 0, 19, 21, 126, 2, 54666, 46318, 49417, 1, 0, 0, 323,-
23,r0,2, 1053476, 1069,"  101324:	e1a02de3 	ror	r2, r3, #27",benign, 610, 216, 10204, 2, 6856, 2709, 0, 572, 760, 0, 225, 54384, 555, 3, 44, 7781, 567, 425, 4, 33049, 11117, 21348, 0, 0, 32, 5477, 4676, 9663, 83, 0, 0, 19, 24, 127, 2, 55074, 46852, 50057, 1, 0, 0, 325,-
24,r1,13, 1053699, 1065,"  101400:	e51b300c 	ldr	r3, [fp, #-12]",benign, 553, 161, 10228, 2, 6855, 2708, 1, 572, 760, 0, 225, 54204, 555, 3, 48, 8124, 432, 416, 4, 32887, 10889, 21300, 0, 0, 32, 5484, 4684, 9637, 80, 0, 0, 19, 25, 180, 2, 54835, 46569, 49846, 1, 0, 0, 323,-
25,r3,29, 1052065, 1066,"  100da0:	e0033000 	and	r3, r3, r0",benign, 560, 167, 10227, 2, 6855, 2705, 0, 572, 760, 0, 233, 54732, 555, 3, 46, 8285, 386, 425, 3, 32602, 10555, 21306, 0, 0, 32, 5216, 4928, 9643, 80, 0, 0, 19, 25, 126, 2, 54969, 46700, 49781, 1, 0, 0, 356,-
