num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r2,22, 1052023, 1061,"  100d74:	e50b300c 	str	r3, [fp, #-12]",benign, 525, 120, 10231, 2, 6849, 2689, 1, 560, 746, 0, 205, 53405, 538, 3, 11, 7245, 2, 375, 3, 32560, 10895, 21166, 0, 0, 28, 4855, 5336, 9621, 80, 0, 0, 17, 20, 34, 2, 53823, 45722, 48795, 1, 0, 0, 384,-
1,r2,1, 1057856, 1026,"  102440:	e51b1014 	ldr	r1, [fp, #-20]	; 0xffffffec",benign, 585, 201, 10228, 2, 6845, 2689, 1, 560, 746, 0, 200, 52940, 538, 3, 12, 7371, 2, 378, 3, 31764, 10144, 21162, 0, 0, 28, 5037, 5136, 9591, 77, 0, 0, 17, 20, 34, 2, 54368, 46202, 49298, 1, 0, 0, 374,-
2,r2,30, 1059735, 1025,"  102b94:	e51b300c 	ldr	r3, [fp, #-12]",benign, 607, 186, 10245, 2, 6852, 2694, 1, 567, 756, 0, 214, 53257, 550, 3, 9, 7801, 33, 376, 3, 32154, 10468, 21201, 0, 0, 30, 4818, 5425, 9614, 79, 0, 0, 17, 21, 34, 2, 53722, 45828, 48830, 1, 0, 0, 377,-
3,r0,5, 1059689, 1027,"  102b68:	e30c31d6 	movw	r3, #49622	; 0xc1d6",benign, 613, 182, 10234, 2, 6849, 2691, 1, 567, 756, 0, 216, 53865, 550, 3, 7, 7635, 2, 375, 3, 32054, 10395, 21242, 0, 0, 30, 5068, 5157, 9608, 77, 0, 0, 17, 20, 34, 2, 53675, 46012, 48999, 1, 0, 0, 374,-
4,r3,1, 1053020, 1027,"  10115c:	e1813003 	orr	r3, r1, r3",benign, 603, 185, 10241, 2, 6847, 2692, 1, 567, 756, 0, 215, 53425, 550, 3, 7, 8075, 2, 379, 3, 31961, 10251, 21207, 0, 0, 30, 4881, 5337, 9612, 78, 0, 0, 17, 21, 34, 2, 53778, 46100, 49134, 1, 0, 0, 377,-
5,r0,9, 1053658, 1023,"  1013d8:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 609, 182, 10250, 2, 6866, 2695, 1, 567, 756, 0, 209, 53733, 550, 3, 7, 7310, 2, 379, 3, 32573, 10858, 21186, 0, 0, 30, 4871, 5348, 9612, 78, 0, 0, 17, 20, 34, 2, 53770, 46198, 49195, 1, 0, 0, 374,-
6,r0,25, 1060312, 1032,"  102dd8:	e0233001 	eor	r3, r3, r1",benign, 596, 182, 10231, 2, 6845, 2691, 1, 567, 756, 0, 211, 53778, 550, 3, 7, 7323, 2, 379, 3, 32126, 10471, 21191, 0, 0, 30, 5036, 5190, 9632, 78, 0, 0, 17, 21, 34, 2, 54197, 46079, 49118, 1, 0, 0, 376,-
7,r2,31, 1061115, 1027,"  1030f8:	da000011 	ble	103144 <sha_final+0xac>",benign, 608, 182, 10239, 2, 6844, 2689, 1, 567, 756, 0, 218, 53526, 550, 3, 7, 7388, 2, 376, 3, 32133, 10434, 21196, 0, 0, 30, 4860, 5363, 9606, 78, 0, 0, 17, 21, 34, 2, 53781, 46429, 49567, 1, 0, 0, 374,-
8,r0,30, 1052742, 1029,"  101044:	e50b300c 	str	r3, [fp, #-12]",benign, 604, 182, 10246, 2, 6850, 2690, 1, 567, 756, 0, 207, 53226, 550, 3, 7, 7781, 2, 378, 3, 32316, 10585, 21180, 0, 0, 30, 4884, 5347, 9629, 79, 0, 0, 17, 21, 34, 2, 53839, 46366, 49386, 1, 0, 0, 374,-
9,r0,16, 1054252, 1026,"  10162c:	e51b1010 	ldr	r1, [fp, #-16]",benign, 788, 363, 10232, 2, 6850, 2689, 1, 567, 756, 0, 214, 53309, 550, 3, 7, 7893, 2, 376, 3, 31893, 10258, 21236, 0, 0, 30, 4883, 5343, 9619, 77, 0, 0, 17, 20, 34, 2, 53673, 46199, 49190, 1, 0, 0, 374,-
