num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r1,25, 1054855, 1054,"  101884:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 676, 35, 10213, 2, 6854, 2703, 0, 572, 760, 0, 226, 54955, 555, 3, 46, 8680, 372, 416, 4, 34064, 12074, 21370, 0, 0, 32, 5496, 4681, 9647, 82, 0, 0, 19, 24, 127, 2, 55915, 47480, 50697, 1, 0, 0, 324,-
1,r1,5, 1057047, 1065,"  102114:	e51b309c 	ldr	r3, [fp, #-156]	; 0xffffff64",benign, 845, 169, 10224, 2, 6859, 2711, 0, 572, 760, 0, 235, 55380, 555, 3, 47, 8989, 413, 416, 5, 33824, 11859, 21342, 0, 0, 32, 5457, 4741, 9652, 82, 0, 0, 19, 24, 129, 2, 55573, 47776, 50914, 1, 0, 0, 324,-
2,r3,4, 1057091, 1064,"  102140:	e1a03163 	ror	r3, r3, #2",benign, 844, 168, 10215, 2, 6844, 2709, 0, 572, 760, 0, 234, 55495, 555, 3, 45, 8653, 366, 419, 5, 33876, 11864, 21366, 0, 0, 32, 5508, 4663, 9641, 81, 0, 0, 19, 24, 127, 2, 55749, 47567, 50769, 1, 0, 0, 321,-
3,r1,24, 1053727, 1064,"  10141c:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 718, 161, 10207, 2, 6838, 2706, 0, 572, 759, 0, 231, 54786, 555, 3, 46, 8421, 361, 428, 3, 33419, 11451, 21347, 0, 0, 32, 5520, 4662, 9636, 82, 0, 0, 19, 24, 136, 2, 55605, 47356, 50623, 1, 0, 0, 323,-
4,r3,31, 1057608, 1063,"  102348:	e51b300c 	ldr	r3, [fp, #-12]",benign, 824, 165, 10232, 3, 6864, 2707, 0, 572, 759, 0, 219, 54226, 555, 3, 46, 8816, 372, 612, 4, 33159, 11161, 21321, 0, 0, 32, 5515, 4666, 9647, 80, 0, 0, 19, 22, 135, 5, 55571, 46759, 49956, 1, 0, 0, 324,-
5,r2,17, 1057518, 1064,"  1022ec:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 846, 163, 10232, 2, 6842, 2708, 1, 572, 760, 0, 238, 55908, 555, 3, 46, 8588, 392, 429, 4, 33798, 11823, 21351, 0, 0, 32, 5263, 4926, 9653, 84, 0, 0, 19, 23, 136, 2, 56001, 47656, 50879, 1, 0, 0, 325,-
6,r2,28, 1052860, 1064,"  1010bc:	e50b3010 	str	r3, [fp, #-16]",benign, 679, 167, 10225, 3, 6865, 2708, 0, 572, 760, 0, 225, 54106, 555, 3, 46, 8282, 371, 415, 4, 33186, 11113, 21333, 0, 0, 32, 5552, 4721, 9645, 80, 0, 0, 19, 23, 126, 2, 54675, 47175, 50328, 1, 0, 0, 316,-
7,r3,23, 1051386, 1063,"  100af8:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 647, 166, 10198, 2, 6839, 2705, 0, 572, 759, 0, 228, 54932, 555, 3, 45, 8360, 377, 409, 3, 33799, 11686, 21373, 0, 0, 32, 5536, 4639, 9657, 82, 0, 0, 19, 23, 127, 2, 55610, 47362, 50587, 1, 0, 0, 316,-
8,r2,6, 1053618, 1062,"  1013b0:	e1e00003 	mvn	r0, r3",benign, 711, 159, 10211, 2, 6838, 2708, 0, 572, 760, 0, 243, 55104, 555, 3, 46, 8226, 360, 417, 4, 33870, 11634, 21326, 0, 0, 32, 5577, 4611, 9647, 83, 0, 0, 19, 23, 127, 2, 55444, 47359, 50720, 1, 0, 0, 322,-
9,r1,4, 1061360, 1067,"  1031f0:	ea000021 	b	10327c <sha_stream+0xe0>",benign, 598, 167, 10212, 3, 6851, 2710, 0, 572, 760, 0, 226, 54481, 555, 3, 46, 8159, 421, 471, 5, 32631, 10529, 21338, 0, 0, 32, 5281, 4889, 9628, 82, 0, 0, 19, 23, 125, 5, 54931, 46479, 49636, 1, 0, 0, 372,-
10,r3,21, 1051086, 1064,"  1009cc:	daffffee 	ble	10098c <sha_transform+0x28>",benign, 650, 166, 10224, 2, 6851, 2704, 0, 572, 760, 0, 233, 54844, 555, 3, 47, 8090, 389, 419, 4, 33098, 11163, 21315, 0, 0, 32, 5579, 4668, 9638, 84, 0, 0, 19, 23, 138, 2, 55601, 47498, 50955, 1, 0, 0, 373,-
11,r2,19, 1055353, 1068,"  101a78:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 781, 166, 10205, 2, 6840, 2706, 0, 572, 760, 0, 231, 55283, 555, 3, 46, 8932, 391, 426, 5, 33948, 12006, 21358, 0, 0, 32, 5562, 4616, 9645, 83, 0, 0, 19, 24, 127, 2, 55517, 47732, 50944, 1, 0, 0, 373,-
12,r1,26, 1055945, 1061,"  101cc8:	e0823003 	add	r3, r2, r3",benign, 806, 168, 10246, 2, 6860, 2705, 0, 572, 760, 0, 230, 55355, 555, 3, 47, 8880, 373, 415, 5, 34166, 12169, 21364, 0, 0, 32, 5497, 4687, 9656, 87, 0, 0, 19, 24, 271, 2, 56028, 47496, 50635, 1, 0, 0, 380,-
13,r3,30, 1057232, 1063,"  1021d0:	e50b300c 	str	r3, [fp, #-12]",benign, 815, 165, 10209, 3, 6840, 2706, 0, 572, 760, 0, 223, 54532, 555, 3, 49, 8930, 425, 629, 3, 32710, 10750, 21339, 0, 0, 32, 5328, 4849, 9644, 83, 0, 0, 19, 23, 123, 2, 54790, 47197, 50378, 1, 0, 0, 445,-
14,r2,29, 1060113, 1066,"  102d10:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4",benign, 927, 167, 10223, 2, 6847, 2710, 0, 572, 760, 0, 231, 55499, 555, 3, 46, 8941, 360, 428, 4, 33992, 12038, 21359, 0, 0, 32, 5287, 4902, 9636, 80, 0, 0, 19, 22, 133, 2, 56165, 48053, 51242, 1, 0, 0, 325,-
15,r0,28, 1054962, 1067,"  1018f0:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 764, 166, 10230, 2, 6860, 2705, 0, 572, 760, 0, 233, 54943, 555, 3, 44, 8505, 365, 420, 4, 33711, 11713, 21368, 0, 0, 32, 5332, 4846, 9640, 81, 0, 0, 19, 23, 136, 2, 55852, 47777, 51132, 1, 0, 0, 322,-
16,r3,23, 1056479, 1066,"  101edc:	e51b300c 	ldr	r3, [fp, #-12]",benign, 804, 166, 10223, 2, 6856, 2706, 0, 572, 760, 0, 238, 55347, 555, 3, 45, 8700, 381, 483, 4, 33785, 11827, 21348, 0, 0, 32, 5320, 4859, 9659, 85, 0, 0, 19, 22, 135, 2, 55682, 47518, 50747, 1, 0, 0, 360,-
17,r0,28, 1059120, 1066,"  102930:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 873, 164, 10247, 3, 6863, 2707, 0, 572, 759, 0, 226, 54887, 555, 3, 46, 9202, 364, 416, 3, 33942, 11724, 21359, 0, 0, 32, 5484, 4688, 9630, 80, 0, 0, 19, 24, 127, 5, 55735, 47823, 50998, 1, 0, 0, 372,-
18,r1,6, 1059843, 1069,"  102c00:	e1a03163 	ror	r3, r3, #2",benign, 932, 173, 10230, 2, 6861, 2709, 0, 572, 759, 0, 232, 55227, 555, 3, 45, 8930, 541, 413, 5, 34468, 12546, 21339, 0, 0, 32, 5498, 4699, 9658, 85, 0, 0, 19, 24, 127, 2, 56150, 47865, 51232, 1, 0, 0, 316,-
19,r3,2, 1061343, 1059,"  1031dc:	e2433004 	sub	r3, r3, #4",benign, 618, 171, 10194, 4, 6834, 2705, 0, 572, 760, 0, 222, 54871, 555, 3, 45, 7858, 366, 464, 5, 33618, 11536, 21370, 0, 0, 32, 5555, 4731, 9643, 85, 0, 0, 19, 25, 135, 2, 55299, 46971, 50171, 1, 0, 0, 323,-
20,r2,10, 1058805, 1070,"  1027f4:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 897, 166, 10221, 2, 6840, 2708, 0, 572, 760, 0, 239, 55707, 555, 3, 44, 8965, 367, 481, 3, 33994, 12082, 21363, 0, 0, 32, 5510, 4653, 9642, 81, 0, 0, 19, 24, 355, 2, 56077, 47524, 50693, 1, 0, 0, 324,-
21,r2,23, 1059715, 1070,"  102b80:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 944, 204, 10233, 2, 6862, 2708, 0, 572, 760, 0, 228, 55503, 555, 3, 44, 8960, 369, 418, 4, 34231, 12282, 21376, 0, 0, 32, 5510, 4670, 9662, 85, 0, 0, 19, 24, 126, 2, 55834, 47980, 51181, 1, 0, 0, 316,-
22,r2,26, 1059018, 1068,"  1028c8:	e0211003 	eor	r1, r1, r3",benign, 904, 167, 10229, 2, 6843, 2707, 0, 572, 760, 0, 232, 55431, 555, 3, 46, 8930, 333, 429, 3, 34221, 12244, 21372, 0, 0, 32, 5517, 4671, 9644, 84, 0, 0, 19, 24, 136, 2, 55916, 47753, 50872, 1, 0, 0, 324,-
23,r0,13, 1053258, 1068,"  101248:	e1e00003 	mvn	r0, r3",benign, 716, 166, 10215, 2, 6859, 2708, 0, 572, 760, 0, 239, 55163, 555, 3, 46, 8513, 362, 459, 3, 33355, 11300, 21352, 0, 0, 32, 5526, 4686, 9654, 85, 0, 0, 19, 24, 126, 2, 56134, 47271, 50478, 1, 0, 0, 323,-
24,r0,6, 1060642, 1069,"  102f20:	e8bd8800 	pop	{fp, pc}",benign, 936, 165, 10235, 2, 6863, 2706, 0, 572, 760, 0, 241, 55854, 555, 3, 45, 9600, 359, 414, 3, 34383, 12411, 21375, 0, 0, 32, 5250, 4921, 9651, 85, 0, 0, 19, 24, 126, 2, 55935, 48033, 51180, 1, 0, 0, 321,-
25,r3,21, 1059742, 1067,"  102b9c:	e51b300c 	ldr	r3, [fp, #-12]",benign, 960, 199, 10229, 2, 6867, 2708, 0, 572, 760, 0, 236, 55295, 555, 3, 45, 8908, 365, 420, 4, 33964, 11973, 21335, 0, 0, 32, 5508, 4646, 9635, 82, 0, 0, 19, 24, 136, 2, 55867, 47856, 51182, 1, 0, 0, 324,-
