num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r0,10, 1055855, 1060,"  101c6c:	e50b3014 	str	r3, [fp, #-20]	; 0xffffffec",benign, 680, 3, 10223, 2, 6835, 2680, 1, 560, 746, 0, 226, 54528, 538, 3, 11, 8620, 3, 404, 3, 32946, 11401, 21211, 0, 0, 28, 5368, 4826, 9621, 83, 0, 0, 19, 22, 35, 2, 54392, 46261, 49274, 1, 0, 0, 380,-
1,r2,28, 1055743, 1020,"  101bfc:	e1a03163 	ror	r3, r3, #2",benign, 835, 192, 10241, 1, 6847, 2688, 1, 560, 746, 0, 224, 54239, 538, 3, 11, 8442, 2, 384, 4, 32644, 11165, 21179, 0, 0, 28, 5529, 4690, 9617, 84, 0, 0, 18, 22, 34, 2, 54949, 46387, 49456, 1, 0, 0, 381,-
2,r0,13, 1051198, 1028,"  100a3c:	e083300b 	add	r3, r3, fp",benign, 701, 191, 10238, 2, 6859, 2693, 1, 567, 756, 0, 225, 54409, 550, 3, 8, 8355, 7, 401, 4, 32946, 11405, 21267, 0, 0, 30, 5349, 4911, 9621, 85, 0, 0, 18, 22, 34, 2, 54339, 46623, 49695, 1, 0, 0, 380,-
3,r1,27, 1057939, 1027,"  102490:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 916, 189, 10257, 2, 6852, 2693, 1, 567, 756, 0, 226, 55030, 550, 3, 7, 9168, 2, 384, 3, 33480, 12013, 21285, 0, 0, 30, 5385, 4869, 9612, 84, 0, 0, 19, 22, 35, 2, 55503, 47093, 50147, 1, 0, 0, 381,-
4,r3,6, 1051890, 1032,"  100cf0:	e1a03163 	ror	r3, r3, #2",benign, 719, 187, 10231, 2, 6831, 2690, 1, 567, 756, 0, 232, 54027, 550, 3, 7, 8154, 2, 384, 3, 32892, 11291, 21250, 0, 0, 30, 5601, 4640, 9626, 85, 0, 0, 18, 22, 34, 2, 54558, 46986, 50263, 1, 0, 0, 379,-
5,r1,30, 1057025, 1026,"  102100:	e0033000 	and	r3, r3, r0",benign, 876, 188, 10228, 2, 6835, 2693, 4, 567, 756, 0, 230, 54689, 550, 3, 7, 8554, 3, 403, 3, 33223, 11705, 21258, 0, 0, 30, 5436, 4841, 9643, 86, 0, 0, 19, 22, 35, 2, 54850, 47203, 50240, 1, 0, 0, 404,-
6,r3,29, 1056667, 1022,"  101f98:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4",benign, 876, 190, 10261, 2, 6854, 2690, 1, 567, 756, 0, 227, 54683, 550, 3, 7, 9195, 2, 384, 3, 33323, 11819, 21274, 0, 0, 30, 5588, 4691, 9620, 83, 0, 0, 22, 23, 37, 2, 54799, 47162, 50220, 1, 0, 0, 380,-
7,r2,0, 1057730, 1027,"  1023c0:	e50b300c 	str	r3, [fp, #-12]",benign, 907, 188, 10256, 2, 6852, 2691, 1, 567, 756, 0, 232, 54757, 550, 3, 7, 8632, 2, 383, 3, 33642, 12167, 21275, 0, 0, 30, 5570, 4686, 9625, 85, 0, 0, 22, 23, 37, 2, 55355, 46984, 50035, 1, 0, 0, 379,-
8,r0,21, 1054122, 1027,"  1015a8:	e1a03163 	ror	r3, r3, #2",benign, 791, 188, 10245, 2, 6848, 2690, 1, 567, 756, 0, 225, 54375, 550, 3, 7, 8782, 2, 383, 3, 32948, 11454, 21270, 0, 0, 30, 5622, 4657, 9630, 83, 0, 0, 18, 22, 34, 2, 54571, 46993, 50039, 1, 0, 0, 403,-
9,r3,11, 1057326, 1026,"  10222c:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 886, 188, 10264, 2, 6855, 2691, 1, 567, 756, 0, 233, 55057, 550, 3, 7, 8762, 2, 382, 3, 33109, 11651, 21259, 0, 0, 30, 5380, 4879, 9624, 86, 0, 0, 22, 23, 37, 2, 55222, 47124, 50243, 1, 0, 0, 404,-
