num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r3,29, 1060377, 1065,"  102e18:	e51b3010 	ldr	r3, [fp, #-16]",benign, 462, 2, 10203, 2, 6839, 2687, 1, 560, 746, 0, 216, 53901, 538, 3, 11, 8282, 3, 404, 3, 32475, 10913, 21177, 0, 0, 28, 5292, 4873, 9613, 81, 0, 0, 19, 22, 35, 2, 54168, 45990, 49159, 1, 0, 0, 382,-
1,r3,5, 1059201, 1022,"  102980:	e51b300c 	ldr	r3, [fp, #-12]",benign, 591, 190, 10230, 2, 6840, 2687, 1, 560, 746, 0, 220, 53611, 538, 3, 11, 7873, 2, 382, 4, 31959, 10400, 21210, 0, 0, 28, 5058, 5139, 9615, 84, 0, 0, 18, 22, 34, 2, 53490, 46226, 49457, 1, 0, 0, 381,-
2,r1,15, 1055260, 1025,"  101a1c:	e0822003 	add	r2, r2, r3",benign, 605, 188, 10232, 2, 6852, 2692, 1, 567, 756, 0, 226, 53504, 550, 3, 8, 8030, 22, 383, 3, 32134, 10539, 21232, 0, 0, 30, 5536, 4703, 9606, 79, 0, 0, 19, 22, 35, 2, 53867, 46141, 49125, 1, 0, 0, 477,-
3,r0,22, 1058108, 1024,"  10253c:	e1a02de3 	ror	r2, r3, #27",benign, 609, 210, 10233, 2, 6859, 2695, 4, 567, 756, 0, 227, 53898, 550, 3, 7, 7720, 2, 383, 3, 32527, 10951, 21218, 0, 0, 30, 5568, 4647, 9620, 80, 0, 0, 19, 22, 35, 2, 53960, 45979, 49031, 1, 0, 0, 382,-
4,r1,2, 1059090, 1021,"  102910:	e50b3014 	str	r3, [fp, #-20]	; 0xffffffec",benign, 607, 211, 10236, 2, 6855, 2695, 1, 567, 756, 0, 222, 53309, 550, 3, 7, 7873, 2, 511, 3, 32016, 10526, 21224, 0, 0, 30, 5571, 4662, 9630, 82, 0, 0, 19, 21, 35, 2, 54143, 46581, 49740, 1, 0, 0, 380,-
5,r1,3, 1060658, 1026,"  102f30:	e50b0008 	str	r0, [fp, #-8]",benign, 611, 211, 10240, 2, 6852, 2692, 1, 567, 756, 0, 222, 54410, 550, 3, 7, 8454, 3, 406, 3, 32632, 11122, 21227, 0, 0, 30, 5556, 4686, 9614, 82, 0, 0, 19, 21, 35, 2, 53908, 46372, 49393, 1, 0, 0, 380,-
6,r2,12, 1055777, 1030,"  101c20:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 602, 210, 10246, 2, 6854, 2693, 1, 567, 756, 0, 228, 54210, 550, 3, 7, 8482, 2, 383, 3, 32550, 11015, 21232, 0, 0, 30, 5292, 4941, 9635, 81, 0, 0, 18, 22, 34, 2, 53752, 45919, 48962, 1, 0, 0, 380,-
7,r3,12, 1053919, 1029,"  1014dc:	e50b3010 	str	r3, [fp, #-16]",benign, 611, 188, 10240, 2, 6851, 2693, 4, 567, 756, 0, 232, 53535, 550, 3, 7, 8149, 3, 406, 3, 32331, 10814, 21215, 0, 0, 30, 5273, 4971, 9626, 83, 0, 0, 19, 23, 35, 2, 54255, 46445, 49476, 1, 0, 0, 403,-
8,r1,2, 1054722, 1023,"  101800:	e0822003 	add	r2, r2, r3",benign, 602, 189, 10228, 2, 6847, 2694, 4, 567, 756, 0, 222, 53375, 550, 3, 7, 7714, 2, 381, 3, 32267, 10792, 21265, 0, 0, 30, 5365, 4871, 9616, 81, 0, 0, 19, 23, 35, 2, 53881, 46074, 49051, 1, 0, 0, 403,-
9,r0,18, 1060384, 1023,"  102e20:	e50b3014 	str	r3, [fp, #-20]	; 0xffffffec",benign, 613, 188, 10242, 2, 6845, 2690, 1, 567, 756, 0, 225, 54280, 550, 3, 7, 7893, 2, 381, 3, 32297, 10830, 21271, 0, 0, 30, 5507, 4716, 9611, 82, 0, 0, 18, 23, 34, 2, 54539, 45848, 48965, 1, 0, 0, 380,-
10,r1,30, 1055468, 1031,"  101aec:	e0822003 	add	r2, r2, r3",benign, 607, 189, 10238, 2, 6855, 2692, 1, 567, 756, 0, 225, 53407, 550, 3, 7, 7644, 2, 382, 3, 31909, 10316, 21252, 0, 0, 30, 5329, 4920, 9624, 84, 0, 0, 22, 23, 37, 2, 54027, 46191, 49252, 1, 0, 0, 380,-
11,r1,26, 1052960, 1026,"  101120:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8",benign, 605, 187, 10242, 2, 6852, 2689, 4, 567, 756, 0, 223, 53890, 550, 3, 7, 7692, 3, 404, 3, 32730, 11098, 21221, 0, 0, 30, 5376, 4885, 9632, 80, 0, 0, 18, 21, 34, 2, 53770, 45994, 49041, 1, 0, 0, 379,-
12,r3,11, 1051636, 1032,"  100bf4:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 606, 188, 10227, 2, 6854, 2696, 1, 567, 756, 0, 223, 54155, 550, 3, 7, 7783, 3, 404, 3, 32177, 10545, 21248, 0, 0, 30, 5112, 5122, 9626, 80, 0, 0, 22, 24, 37, 2, 53854, 46284, 49421, 1, 0, 0, 380,-
13,r1,17, 1052771, 1031,"  101060:	e0011003 	and	r1, r1, r3",benign, 605, 188, 10246, 2, 6849, 2691, 1, 567, 756, 0, 221, 53573, 550, 3, 7, 7800, 2, 384, 3, 32534, 10988, 21232, 0, 0, 30, 5584, 4653, 9617, 84, 0, 0, 18, 22, 34, 2, 53852, 46455, 49719, 1, 0, 0, 380,-
14,r3,14, 1060928, 1026,"  103040:	e3a02040 	mov	r2, #64	; 0x40",benign, 609, 187, 10238, 2, 6850, 2689, 1, 567, 756, 0, 216, 53856, 550, 3, 7, 7612, 2, 382, 3, 32148, 10595, 21226, 0, 0, 30, 5324, 4900, 9617, 82, 0, 0, 19, 21, 35, 2, 54015, 45959, 49011, 1, 0, 0, 380,-
16,r1,30, 1058876, 1027,"  10283c:	e51b300c 	ldr	r3, [fp, #-12]",benign, 466, 18, 10252, 34, 6845, 2691, 1, 567, 756, 0, 227, 53313, 550, 3, 7, 8110, 2, 382, 3, 32041, 10497, 21258, 0, 0, 30, 5540, 4701, 9644, 84, 0, 0, 18, 22, 34, 2, 53829, 45952, 49067, 1, 0, 0, 382,-
17,r1,6, 1059370, 1031,"  102a28:	e0822003 	add	r2, r2, r3",benign, 605, 189, 10237, 2, 6851, 2691, 1, 567, 756, 0, 221, 54094, 550, 3, 7, 8018, 2, 381, 3, 31972, 10416, 21203, 0, 0, 30, 5330, 4903, 9615, 82, 0, 0, 18, 23, 34, 2, 54340, 46318, 49493, 1, 0, 0, 380,-
18,r1,2, 1054249, 1030,"  101628:	e50b300c 	str	r3, [fp, #-12]",benign, 600, 211, 10241, 2, 6850, 2692, 1, 567, 756, 0, 229, 53787, 550, 3, 7, 8265, 2, 384, 3, 32468, 10879, 21208, 0, 0, 30, 5130, 5127, 9628, 83, 0, 0, 18, 22, 34, 2, 54270, 45986, 49013, 1, 0, 0, 381,-
19,r2,28, 1060793, 1029,"  102fb8:	e50b0008 	str	r0, [fp, #-8]",benign, 611, 210, 10236, 1, 6856, 2693, 1, 567, 756, 0, 226, 53896, 550, 3, 7, 7690, 2, 382, 3, 32123, 10630, 21241, 0, 0, 30, 5080, 5136, 9607, 81, 0, 0, 19, 22, 35, 2, 53919, 46450, 49487, 1, 0, 0, 381,-
20,r1,8, 1061064, 1029,"  1030c8:	e51b3008 	ldr	r3, [fp, #-8]",benign, 610, 188, 10245, 2, 6854, 2691, 4, 567, 756, 0, 229, 53318, 550, 3, 7, 8470, 2, 383, 3, 31895, 10407, 21219, 0, 0, 30, 5527, 4690, 9604, 80, 0, 0, 18, 23, 34, 2, 54119, 45945, 48904, 1, 0, 0, 380,-
21,r1,5, 1053624, 1029,"  1013b8:	e0033000 	and	r3, r3, r0",benign, 602, 188, 10249, 2, 6857, 2691, 4, 567, 756, 0, 223, 53439, 550, 3, 7, 7691, 3, 405, 3, 32342, 10786, 21221, 0, 0, 30, 5360, 4888, 9635, 83, 0, 0, 19, 23, 36, 2, 53721, 46243, 49228, 1, 0, 0, 380,-
22,r0,22, 1058886, 1031,"  102844:	e51b3020 	ldr	r3, [fp, #-32]	; 0xffffffe0",benign, 609, 189, 10248, 2, 6853, 2693, 1, 567, 756, 0, 226, 53881, 550, 3, 7, 8552, 2, 384, 3, 31922, 10361, 21235, 0, 0, 30, 5559, 4678, 9628, 84, 0, 0, 19, 22, 35, 2, 54102, 46104, 48994, 1, 0, 0, 381,-
23,r3,21, 1051107, 1031,"  1009e0:	e2433003 	sub	r3, r3, #3",benign, 616, 188, 10246, 2, 6847, 2692, 1, 567, 756, 0, 225, 53820, 550, 3, 7, 7958, 2, 383, 3, 32351, 10817, 21177, 0, 0, 30, 5341, 4891, 9622, 80, 0, 0, 22, 23, 37, 2, 54475, 46160, 49181, 1, 0, 0, 382,-
24,r2,21, 1053821, 1031,"  10147c:	e51b300c 	ldr	r3, [fp, #-12]",benign, 617, 211, 10226, 2, 6856, 2693, 1, 567, 756, 0, 233, 53513, 550, 3, 7, 7814, 2, 384, 3, 32828, 11244, 21225, 0, 0, 30, 5316, 4921, 9620, 83, 0, 0, 22, 23, 37, 2, 53799, 46499, 49590, 1, 0, 0, 381,-
25,r1,0, 1053002, 1027,"  101148:	e51b1010 	ldr	r1, [fp, #-16]",benign, 603, 211, 10235, 2, 6846, 2692, 1, 567, 756, 0, 224, 53589, 550, 3, 7, 7765, 2, 383, 3, 32516, 11026, 21199, 0, 0, 30, 5279, 4988, 9621, 82, 0, 0, 19, 22, 35, 2, 53933, 46529, 49724, 1, 0, 0, 402,-
26,r0,10, 1057165, 1032,"  10218c:	e0822003 	add	r2, r2, r3",benign, 605, 188, 10242, 2, 6854, 2693, 1, 567, 756, 0, 213, 53430, 550, 3, 7, 7832, 2, 383, 3, 32659, 11118, 21239, 0, 0, 30, 5526, 4728, 9613, 84, 0, 0, 18, 21, 34, 2, 54020, 45938, 48948, 1, 0, 0, 382,-
27,r0,7, 1056482, 1033,"  101ee0:	e50b3010 	str	r3, [fp, #-16]",benign, 605, 189, 10255, 2, 6859, 2690, 1, 567, 756, 0, 218, 53616, 550, 3, 7, 7902, 2, 382, 3, 32682, 11094, 21243, 0, 0, 30, 5601, 4654, 9611, 81, 0, 0, 18, 23, 34, 2, 54478, 46304, 49318, 1, 0, 0, 403,-
28,r0,24, 1061034, 1033,"  1030a8:	e24dd018 	sub	sp, sp, #24",benign, 610, 188, 10241, 2, 6849, 2691, 4, 567, 756, 0, 229, 53476, 550, 3, 7, 7679, 2, 383, 3, 32135, 10502, 21215, 0, 0, 30, 5518, 4711, 9611, 82, 0, 0, 18, 22, 34, 2, 53993, 45910, 48965, 1, 0, 0, 382,-
29,r1,24, 1058749, 1029,"  1027bc:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 606, 188, 10230, 2, 6848, 2692, 1, 567, 756, 0, 223, 53321, 550, 3, 7, 7628, 2, 384, 3, 32035, 10462, 21258, 0, 0, 30, 5357, 4877, 9609, 80, 0, 0, 18, 23, 34, 2, 54072, 46214, 49220, 1, 0, 0, 382,-
30,r3,18, 1052605, 1028,"  100fbc:	e51b3010 	ldr	r3, [fp, #-16]",benign, 610, 187, 10245, 2, 6852, 2692, 4, 567, 756, 0, 219, 53427, 550, 3, 7, 8244, 2, 383, 3, 32103, 10569, 21244, 0, 0, 30, 5360, 4868, 9621, 82, 0, 0, 18, 21, 34, 2, 53651, 45925, 48944, 1, 0, 0, 382,-
31,r3,19, 1056730, 1027,"  101fd8:	e50b3010 	str	r3, [fp, #-16]",benign, 605, 210, 10246, 2, 6852, 2690, 1, 567, 756, 0, 224, 53983, 550, 3, 7, 7749, 3, 404, 3, 32468, 10900, 21235, 0, 0, 30, 5339, 4896, 9612, 81, 0, 0, 18, 22, 34, 2, 54032, 46546, 49697, 1, 0, 0, 382,-
32,r1,14, 1056830, 1033,"  10203c:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 614, 189, 10237, 2, 6849, 2691, 1, 567, 756, 0, 220, 53651, 550, 3, 7, 8413, 2, 383, 3, 32861, 11297, 21250, 0, 0, 30, 5573, 4663, 9614, 82, 0, 0, 21, 24, 36, 2, 54311, 46260, 49166, 1, 0, 0, 404,-
33,r2,27, 1057975, 1034,"  1024b4:	e51b3020 	ldr	r3, [fp, #-32]	; 0xffffffe0",benign, 606, 187, 10230, 2, 6853, 2695, 1, 567, 756, 0, 223, 53424, 550, 3, 7, 7940, 2, 383, 3, 32047, 10614, 21242, 0, 0, 30, 5363, 4858, 9627, 85, 0, 0, 19, 24, 35, 2, 53979, 46509, 49686, 1, 0, 0, 381,-
34,r1,26, 1056672, 1027,"  101fa0:	e51b30a8 	ldr	r3, [fp, #-168]	; 0xffffff58",benign, 607, 190, 10230, 2, 6854, 2692, 1, 567, 756, 0, 214, 53977, 550, 3, 7, 8058, 2, 384, 3, 32706, 11132, 21205, 0, 0, 30, 5325, 4909, 9607, 82, 0, 0, 22, 23, 37, 2, 54567, 45948, 48916, 1, 0, 0, 400,-
35,r2,31, 1056461, 1028,"  101ecc:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8",benign, 604, 189, 10243, 2, 6853, 2691, 1, 567, 756, 0, 224, 53543, 550, 3, 7, 7595, 2, 381, 3, 32074, 10583, 21215, 0, 0, 30, 5355, 4883, 9619, 81, 0, 0, 19, 21, 35, 2, 53790, 46328, 49433, 1, 0, 0, 403,-
36,r1,25, 1054133, 1028,"  1015b4:	e50b3010 	str	r3, [fp, #-16]",benign, 608, 188, 10253, 2, 6856, 2693, 1, 567, 756, 0, 223, 54092, 550, 3, 7, 8615, 3, 404, 3, 32117, 10604, 21264, 0, 0, 30, 5525, 4709, 9615, 82, 0, 0, 19, 22, 35, 2, 54442, 46146, 49162, 1, 0, 0, 485,-
37,r2,29, 1051530, 1030,"  100b88:	e1a03163 	ror	r3, r3, #2",benign, 617, 188, 10241, 2, 6861, 2696, 1, 567, 756, 0, 223, 53819, 550, 3, 7, 8039, 2, 384, 3, 32287, 10701, 21238, 0, 0, 30, 5369, 4859, 9620, 81, 0, 0, 19, 23, 35, 2, 54030, 46323, 49332, 1, 0, 0, 381,-
38,r2,3, 1057758, 1032,"  1023dc:	e0011003 	and	r1, r1, r3",benign, 607, 189, 10237, 2, 6849, 2690, 4, 567, 756, 0, 216, 53445, 550, 3, 7, 7766, 2, 384, 3, 32167, 10696, 21218, 0, 0, 30, 5569, 4670, 9606, 81, 0, 0, 22, 23, 37, 2, 54035, 46071, 49056, 1, 0, 0, 381,-
39,r1,22, 1054706, 1031,"  1017f0:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 616, 189, 10234, 2, 6854, 2693, 1, 567, 756, 0, 219, 53690, 550, 3, 7, 8266, 2, 382, 3, 32224, 10777, 21255, 0, 0, 30, 5117, 5107, 9632, 86, 0, 0, 18, 23, 34, 2, 53819, 46279, 49324, 1, 0, 0, 380,-
