num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,r2,8, 1087141,"  1096a4:	e50b0010 	str	r0, [fp, #-16]
",SDC, 35, 11, 523, 1, 380, 374, 1, 118, 279, 0, 127, 9635, 44, 3, 18, 1179, 20, 431, 3, 3717, 2860, 3240, 0, 0, 4, 602, 873, 744, 38, 0, 0, 19, 21, 125, 2, 10375, 1764, 5069, 1, 0, 0, 339
1,r1,18, 1088195,"  109ac0:	e30834dc 	movw	r3, #34012	; 0x84dc
",benign, 513, 232, 18789, 3, 13126, 4157, 1, 3563, 5124, 3, 726, 77450, 5308, 3, 119, 5200, 1351, 422, 3, 31905, 13132, 60493, 0, 0, 432, 19376, 17419, 18103, 135, 0, 0, 19, 57, 134, 2, 77329, 68941, 72140, 2, 0, 0, 329
2,r2,14, 1087428,"  1097c4:	e3530000 	cmp	r3, #0
",benign, 459, 230, 18772, 6, 13125, 4161, 2, 3555, 5116, 1, 727, 77137, 5300, 3, 119, 5036, 1409, 433, 3, 31137, 12522, 60331, 0, 0, 432, 19184, 17493, 18053, 130, 0, 0, 19, 60, 158, 5, 76592, 68359, 71694, 2, 0, 0, 328
4,r0,12, 1087642,"  109898:	e50b17f4 	str	r1, [fp, #-2036]	; 0xfffff80c
",benign, 348, 127, 22194, 3, 15460, 4924, 1, 4182, 6044, 1, 730, 87006, 6320, 3, 141, 5078, 1380, 433, 3, 35164, 13162, 70610, 0, 0, 522, 22501, 20600, 21163, 152, 0, 0, 17, 71, 154, 5, 87599, 79410, 82697, 2, 0, 0, 317
5,r3,4, 1087677,"  1098bc:	e30834d0 	movw	r3, #34000	; 0x84d0
",benign, 422, 266, 20527, 3, 14282, 4596, 1, 3937, 5645, 2, 724, 83904, 5892, 3, 153, 4873, 1587, 454, 3, 34899, 13042, 65672, 0, 0, 492, 21011, 19139, 19686, 149, 0, 0, 19, 95, 146, 5, 84010, 75270, 78506, 2, 0, 0, 316
6,r2,3, 1087683,"  1098c0:	e3403012 	movt	r3, #18
",benign, 419, 240, 21987, 3, 15319, 4855, 1, 4127, 5959, 1, 733, 86341, 6224, 3, 130, 4948, 1369, 431, 3, 35061, 13509, 69958, 0, 0, 512, 22493, 20300, 20988, 148, 0, 0, 19, 70, 154, 5, 86411, 77685, 80948, 2, 0, 0, 317
7,r1,15, 1087479,"  1097f4:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",benign, 498, 241, 21980, 3, 15327, 4849, 1, 4127, 5959, 1, 758, 86773, 6224, 3, 130, 5017, 1707, 432, 3, 35102, 13408, 70083, 0, 0, 512, 22602, 20205, 20977, 147, 0, 0, 19, 68, 146, 5, 86846, 78064, 81234, 2, 0, 0, 316
8,r3,18, 1088038,"  109a24:	e30834dc 	movw	r3, #34012	; 0x84dc
",benign, 526, 265, 20536, 3, 14290, 4600, 1, 3937, 5645, 3, 776, 85104, 5892, 3, 153, 5291, 1416, 421, 3, 35284, 13312, 65795, 0, 0, 492, 21010, 19217, 19717, 148, 0, 0, 19, 95, 144, 2, 85480, 76301, 79422, 2, 0, 0, 316
9,r2,4, 1087784,"  109928:	daffffe3 	ble	1098bc <dijkstra+0x38>
",benign, 132, 134, 531, 2, 382, 382, 1, 118, 279, 0, 131, 9964, 44, 3, 17, 1501, 47, 431, 3, 4013, 3002, 3190, 0, 0, 4, 606, 870, 744, 37, 0, 0, 19, 21, 142, 2, 10693, 1889, 5224, 1, 0, 0, 338
10,r0,18, 1087958,"  1099d4:	e0812002 	add	r2, r1, r2
",benign, 521, 292, 25194, 3, 17561, 5504, 1, 4794, 6834, 3, 854, 97774, 7171, 3, 160, 4726, 1626, 419, 3, 39669, 14071, 79064, 0, 0, 582, 25190, 22769, 24103, 167, 0, 0, 19, 88, 153, 2, 98402, 89041, 92247, 2, 0, 0, 316
11,r3,19, 1087801,"  109938:	0a0000ed 	beq	109cf4 <dijkstra+0x470>
",benign, 438, 274, 20522, 3, 14288, 4605, 1, 3937, 5645, 1, 701, 83586, 5892, 3, 152, 4795, 1467, 442, 3, 35051, 13020, 65775, 0, 0, 492, 20908, 19185, 19661, 150, 0, 0, 19, 99, 299, 5, 83980, 75751, 79022, 2, 0, 0, 317
12,r1,9, 1087244,"  10970c:	e51b2018 	ldr	r2, [fp, #-24]	; 0xffffffe8
",benign, 451, 230, 18798, 6, 13127, 4164, 2, 3563, 5124, 1, 707, 76655, 5308, 3, 118, 4675, 1352, 432, 3, 31058, 12224, 60346, 0, 0, 432, 19258, 17512, 18042, 130, 0, 0, 19, 62, 157, 5, 76912, 68621, 71824, 2, 0, 0, 316
13,r2,7, 1087493,"  109804:	e5933000 	ldr	r3, [r3]
",benign, 490, 274, 20526, 3, 14278, 4604, 1, 3937, 5645, 1, 737, 84012, 5892, 3, 153, 4776, 1539, 431, 3, 35382, 13411, 65745, 0, 0, 492, 21033, 19163, 19703, 145, 0, 0, 19, 87, 155, 5, 84420, 76136, 79303, 2, 0, 0, 317
14,r2,11, 1087514,"  109818:	e3403012 	movt	r3, #18
",benign, 496, 245, 18998, 3, 13259, 4247, 1, 3625, 5216, 2, 746, 79443, 5411, 3, 130, 4929, 1551, 431, 3, 32977, 13181, 61111, 0, 0, 442, 19422, 17849, 18313, 136, 0, 0, 19, 73, 145, 5, 78324, 70454, 73684, 2, 0, 0, 317
15,r0,1, 1087734,"  1098f4:	e302270f 	movw	r2, #9999	; 0x270f
",benign, 426, 229, 18786, 3, 13124, 4158, 1, 3563, 5124, 1, 670, 76462, 5308, 3, 118, 4738, 1352, 461, 3, 31187, 12723, 60378, 0, 0, 432, 19297, 17457, 18050, 131, 0, 0, 19, 64, 154, 4, 76429, 68862, 72107, 2, 0, 0, 318
16,r0,4, 1087969,"  1099e0:	e3403012 	movt	r3, #18
",benign, 499, 225, 18022, 3, 12586, 4018, 1, 3392, 4909, 2, 684, 73729, 5083, 3, 116, 4880, 1233, 415, 3, 29819, 12431, 58205, 0, 0, 422, 18812, 16812, 17296, 129, 0, 0, 19, 58, 138, 2, 73428, 65562, 68915, 2, 0, 0, 317
17,r0,19, 1088128,"  109a80:	e5932000 	ldr	r2, [r3]
",benign, 492, 244, 19569, 6, 13658, 4352, 0, 3729, 5351, 2, 742, 80349, 5556, 3, 131, 4855, 1614, 419, 3, 33279, 13032, 62737, 0, 0, 452, 20003, 18150, 18844, 139, 0, 0, 19, 74, 130, 3, 80159, 71497, 74693, 2, 0, 0, 321
18,r1,30, 1087776,"  109920:	e5933000 	ldr	r3, [r3]
",benign, 390, 239, 20060, 5, 13988, 4436, 1, 3806, 5455, 2, 686, 79417, 5680, 3, 129, 4936, 1280, 440, 3, 31358, 11680, 64081, 0, 0, 472, 20539, 18694, 19206, 143, 0, 0, 19, 84, 147, 4, 79697, 71926, 75122, 2, 0, 0, 318
19,r1,3, 1088185,"  109ab8:	e0823003 	add	r3, r2, r3
",benign, 500, 227, 18023, 3, 12578, 4010, 1, 3392, 4909, 2, 689, 74077, 5083, 3, 116, 5043, 1467, 422, 3, 30197, 12869, 58379, 0, 0, 422, 18686, 16993, 17335, 130, 0, 0, 19, 75, 137, 2, 73255, 65044, 68261, 2, 0, 0, 317
