num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0x10fa44,16, 1058844,"  10281c:	e51b300c 	ldr	r3, [fp, #-12]
",benign, 207, 76, 2907, 2, 1794, 1092, 1, 523, 726, 0, 251, 24404, 522, 3, 95, 2869, 1401, 413, 3, 14299, 6461, 8255, 0, 0, 33, 1876, 2056, 2945, 92, 0, 0, 17, 34, 132, 2, 25037, 16320, 19861, 1, 0, 0, 375
1,0x130004,15, 1060011,"  102ca8:	e50b301c 	str	r3, [fp, #-28]	; 0xffffffe4
",benign, 291, 196, 2848, 2, 1759, 1081, 1, 521, 727, 0, 250, 23967, 524, 3, 92, 2914, 1364, 413, 3, 14215, 6638, 8135, 0, 0, 34, 1838, 2013, 2888, 91, 0, 0, 17, 22, 129, 2, 24666, 16420, 19704, 1, 0, 0, 316
2,0x1295d4,10, 1060653,"  102f2c:	e34e3fcd 	movt	r3, #61389	; 0xefcd
",benign, 287, 199, 2893, 2, 1784, 1085, 1, 522, 728, 0, 252, 24262, 524, 3, 92, 2897, 1157, 395, 3, 13989, 6348, 8237, 0, 0, 33, 1873, 2049, 2940, 94, 0, 0, 17, 21, 128, 2, 25073, 16324, 19656, 1, 0, 0, 316
3,0x124c98,18, 1056374,"  101e74:	e0033000 	and	r3, r3, r0
",benign, 287, 198, 2732, 2, 1677, 1070, 1, 506, 709, 0, 231, 21754, 506, 3, 93, 2905, 1272, 413, 3, 12084, 6503, 7896, 0, 0, 34, 1766, 1975, 2789, 91, 0, 0, 17, 21, 114, 2, 22291, 14196, 17472, 1, 0, 0, 316
4,0x10d24c,29, 1060759,"  102f94:	e24dd010 	sub	sp, sp, #16
",benign, 284, 197, 2870, 2, 1776, 1082, 1, 522, 727, 0, 254, 24125, 523, 3, 95, 2987, 1413, 395, 3, 13915, 6434, 8185, 0, 0, 33, 1854, 2036, 2912, 95, 0, 0, 17, 71, 115, 2, 24557, 16463, 19792, 1, 0, 0, 316
5,0x12c8d4,8, 1060169,"  102d48:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",benign, 285, 197, 2878, 1, 1768, 1082, 1, 522, 727, 0, 240, 23798, 523, 3, 94, 2824, 1534, 413, 3, 13908, 6317, 8201, 0, 0, 33, 1856, 2028, 2901, 91, 0, 0, 18, 52, 134, 2, 24729, 16698, 19973, 1, 0, 0, 316
6,0x104790,13, 1054594,"  101780:	e30e3ba1 	movw	r3, #60321	; 0xeba1
",benign, 284, 199, 2899, 1, 1795, 1090, 1, 522, 728, 0, 246, 24198, 524, 3, 93, 3105, 1172, 415, 3, 14179, 6557, 8235, 0, 0, 33, 1873, 2054, 2929, 93, 0, 0, 17, 41, 132, 2, 24738, 16464, 19748, 1, 0, 0, 316
7,0x13befc,21, 1051163,"  100a18:	e2433004 	sub	r3, r3, #4
",benign, 285, 198, 2863, 1, 1772, 1084, 1, 519, 726, 0, 237, 23877, 522, 3, 95, 2860, 1294, 415, 3, 14000, 6366, 8177, 0, 0, 33, 1822, 2053, 2897, 93, 0, 0, 18, 34, 130, 2, 24699, 16238, 19509, 1, 0, 0, 316
8,0x110cb0,5, 1052607,"  100fbc:	e1a02de3 	ror	r2, r3, #27
",benign, 280, 198, 2867, 2, 1763, 1082, 1, 519, 726, 0, 233, 23888, 522, 3, 94, 2876, 1333, 415, 3, 14052, 6365, 8156, 0, 0, 33, 1828, 2053, 2895, 91, 0, 0, 17, 21, 132, 2, 24810, 16453, 19895, 1, 0, 0, 316
9,0x132ff8,14, 1056181,"  101db4:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8
",benign, 282, 199, 2878, 1, 1774, 1088, 1, 519, 726, 0, 235, 23862, 522, 3, 96, 3097, 1371, 415, 3, 14066, 6388, 8151, 0, 0, 33, 1830, 2043, 2891, 91, 0, 0, 17, 21, 132, 2, 24456, 16417, 19702, 1, 0, 0, 316
10,0x13a660,12, 1061991,"  103464:	e3403011 	movt	r3, #17
",benign, 348, 257, 2873, 2, 1773, 1088, 1, 522, 734, 0, 234, 23948, 531, 3, 93, 2891, 1229, 412, 3, 14129, 6494, 8205, 0, 0, 34, 1836, 2060, 2900, 91, 0, 0, 17, 40, 112, 2, 24857, 16536, 19872, 1, 0, 0, 316
11,0x1335bc,16, 1057492,"  1022d4:	e1813003 	orr	r3, r1, r3
",benign, 286, 198, 2889, 2, 1776, 1085, 1, 519, 725, 0, 239, 24085, 521, 3, 94, 3144, 1186, 395, 3, 14140, 6498, 8211, 0, 0, 33, 1855, 2031, 2922, 94, 0, 0, 17, 21, 132, 2, 24611, 16410, 19692, 1, 0, 0, 316
12,0x136198,30, 1059674,"  102b58:	e0823003 	add	r3, r2, r3
",benign, 283, 199, 2823, 2, 1725, 1082, 1, 511, 711, 0, 231, 23803, 507, 3, 94, 2678, 1237, 398, 3, 14173, 6624, 8013, 0, 0, 33, 1778, 1997, 2839, 91, 0, 0, 17, 52, 132, 2, 24501, 15992, 19257, 1, 0, 0, 316
13,0x12f230,26, 1061176,"  103138:	e0820003 	add	r0, r2, r3
",benign, 284, 198, 2810, 2, 1716, 1076, 1, 511, 711, 0, 233, 23858, 507, 3, 95, 2754, 1197, 411, 3, 14248, 6432, 7987, 0, 0, 33, 1776, 1999, 2842, 93, 0, 0, 17, 34, 132, 2, 24341, 16144, 19560, 1, 0, 0, 316
14,0x122bf4,5, 1060192,"  102d60:	e0822003 	add	r2, r2, r3
",benign, 338, 254, 2878, 2, 1772, 1082, 1, 522, 727, 0, 256, 24367, 523, 3, 95, 3027, 1194, 415, 3, 14064, 6376, 8216, 0, 0, 33, 1858, 2033, 2907, 93, 0, 0, 17, 21, 112, 2, 24725, 16449, 19770, 1, 0, 0, 316
15,0x128f40,12, 1056149,"  101d94:	e0822003 	add	r2, r2, r3
",benign, 288, 197, 2873, 2, 1770, 1085, 1, 519, 725, 0, 241, 24112, 521, 3, 94, 2840, 1309, 411, 3, 14201, 6633, 8210, 0, 0, 33, 1860, 2022, 2930, 94, 0, 0, 17, 42, 115, 2, 24837, 16333, 19682, 1, 0, 0, 374
16,0x122298,18, 1052549,"  100f84:	e0823003 	add	r3, r2, r3
",benign, 291, 198, 2884, 2, 1786, 1082, 1, 528, 742, 0, 246, 24198, 539, 3, 93, 2854, 1412, 415, 3, 14141, 6511, 8285, 0, 0, 34, 1897, 2049, 2930, 94, 0, 0, 18, 21, 134, 2, 24745, 16641, 19951, 1, 0, 0, 316
17,0x136690,17, 1051045,"  1009a4:	e51b3008 	ldr	r3, [fp, #-8]
",benign, 286, 199, 2897, 1, 1784, 1086, 1, 522, 728, 0, 243, 24260, 524, 3, 93, 3021, 1203, 412, 3, 14302, 6335, 8241, 0, 0, 33, 1926, 2099, 2926, 93, 0, 0, 17, 22, 132, 2, 24916, 16947, 20239, 1, 0, 0, 316
18,0x127034,30, 1062364,"  1035dc:	e50b0018 	str	r0, [fp, #-24]	; 0xffffffe8
",benign, 289, 198, 2878, 2, 1767, 1082, 1, 522, 734, 0, 237, 23809, 531, 3, 93, 2769, 1209, 469, 3, 14260, 6545, 8220, 0, 0, 34, 1842, 2070, 2910, 91, 0, 0, 17, 22, 128, 2, 24788, 16433, 19715, 1, 0, 0, 372
19,0x1321f4,19, 1052995,"  101140:	e0033000 	and	r3, r3, r0
",benign, 284, 197, 2860, 2, 1764, 1081, 1, 521, 728, 0, 242, 23918, 524, 3, 95, 2976, 1155, 397, 3, 14277, 6652, 8188, 0, 0, 33, 1850, 2034, 2907, 91, 0, 0, 17, 33, 132, 2, 24818, 16266, 19539, 1, 0, 0, 316
20,0x103fe8,9, 1061922,"  103420:	e3a03078 	mov	r3, #120	; 0x78
",benign, 283, 198, 2879, 1, 1770, 1082, 1, 521, 728, 0, 250, 24071, 524, 3, 94, 2876, 1260, 411, 3, 14193, 6526, 8202, 0, 0, 33, 1853, 2039, 2914, 93, 0, 0, 17, 33, 132, 2, 24580, 16351, 19621, 1, 0, 0, 374
21,0x1335fc,22, 1050038,"  1005b4:	e3403012 	movt	r3, #18
",benign, 378, 198, 2879, 6, 1787, 1082, 1, 527, 741, 0, 252, 25146, 538, 3, 92, 3235, 1258, 454, 3, 15204, 7629, 8348, 0, 0, 34, 1947, 2106, 2918, 92, 0, 0, 17, 53, 112, 4, 25890, 17211, 20585, 3, 0, 0, 374
22,0x12f0c0,3, 1055744,"  101c00:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",benign, 285, 196, 2884, 2, 1787, 1083, 1, 531, 747, 0, 252, 24444, 544, 3, 92, 2945, 1155, 413, 3, 14198, 6572, 8308, 0, 0, 34, 1906, 2074, 2941, 94, 0, 0, 17, 22, 130, 2, 24772, 17013, 20519, 1, 0, 0, 316
23,0x10202c,8, 1061350,"  1031e4:	e51b3010 	ldr	r3, [fp, #-16]
",benign, 288, 197, 2891, 2, 1787, 1083, 1, 531, 747, 0, 251, 24322, 544, 3, 93, 2992, 1200, 411, 3, 14169, 6368, 8330, 0, 0, 34, 1893, 2064, 2932, 93, 0, 0, 18, 22, 134, 2, 24925, 16598, 19914, 1, 0, 0, 316
24,0x112e58,24, 1055423,"  101abc:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",benign, 290, 198, 2884, 2, 1780, 1083, 1, 528, 742, 0, 255, 24203, 539, 3, 92, 2881, 1272, 415, 3, 14206, 6630, 8263, 0, 0, 34, 1880, 2065, 2923, 91, 0, 0, 17, 42, 114, 2, 24839, 16375, 19655, 1, 0, 0, 316
25,0x134920,15, 1050549,"  1007b4:	e2433004 	sub	r3, r3, #4
",benign, 372, 197, 2861, 5, 1773, 1081, 1, 521, 728, 0, 244, 25144, 524, 3, 94, 3428, 1157, 395, 3, 15039, 7458, 8252, 0, 0, 33, 1918, 2091, 2902, 92, 0, 0, 17, 42, 124, 4, 25649, 17299, 20910, 3, 0, 0, 316
26,0x111594,8, 1052292,"  100e84:	e51b3140 	ldr	r3, [fp, #-320]	; 0xfffffec0
",benign, 292, 197, 2886, 1, 1781, 1082, 1, 527, 741, 0, 260, 24293, 538, 3, 94, 2972, 1445, 397, 3, 14125, 6306, 8295, 0, 0, 34, 1882, 2049, 2929, 93, 0, 0, 17, 22, 130, 2, 24729, 16452, 19732, 1, 0, 0, 316
27,0x1121dc,23, 1054029,"  10154c:	e0233001 	eor	r3, r3, r1
",benign, 285, 199, 2904, 2, 1788, 1089, 1, 522, 728, 0, 248, 24086, 524, 3, 92, 2918, 1213, 415, 3, 14353, 6510, 8224, 0, 0, 33, 1873, 2044, 2936, 92, 0, 0, 18, 41, 134, 2, 24811, 16514, 19815, 1, 0, 0, 316
28,0x12c054,9, 1058281,"  1025e8:	e50b301c 	str	r3, [fp, #-28]	; 0xffffffe4
",benign, 284, 198, 2875, 1, 1767, 1086, 1, 519, 725, 0, 244, 23995, 521, 3, 95, 2754, 1396, 413, 3, 14333, 6622, 8170, 0, 0, 33, 1848, 2034, 2916, 93, 0, 0, 17, 71, 132, 2, 24631, 16531, 19828, 1, 0, 0, 316
29,0x111a90,28, 1062534,"  103684:	e3c33003 	bic	r3, r3, #3
",benign, 282, 198, 2870, 1, 1776, 1085, 1, 519, 726, 0, 231, 24079, 522, 3, 94, 2802, 1180, 415, 3, 14193, 6545, 8186, 0, 0, 33, 1832, 2058, 2901, 92, 0, 0, 17, 43, 132, 2, 24412, 16409, 19673, 1, 0, 0, 316
30,0x12f9b4,24, 1049929,"  100548:	e51b3008 	ldr	r3, [fp, #-8]
",benign, 380, 196, 2863, 6, 1767, 1082, 1, 521, 728, 0, 249, 24903, 524, 3, 92, 3140, 1404, 406, 3, 15137, 7619, 8272, 0, 0, 33, 1856, 2041, 2911, 93, 0, 0, 17, 21, 123, 3, 25819, 17218, 20622, 3, 0, 0, 316
31,0x133558,11, 1061400,"  103218:	e51b2014 	ldr	r2, [fp, #-20]	; 0xffffffec
",benign, 288, 199, 2894, 2, 1783, 1088, 1, 522, 728, 0, 246, 24425, 524, 3, 93, 3081, 1210, 457, 3, 13976, 6324, 8237, 0, 0, 33, 1865, 2051, 2930, 93, 0, 0, 17, 34, 128, 2, 24720, 16517, 20033, 1, 0, 0, 316
32,0x130674,21, 1050696,"  100848:	1affffec 	bne	100800 <search_wrap+0x138>
",benign, 293, 197, 2902, 2, 1793, 1082, 1, 531, 747, 0, 247, 23991, 544, 3, 93, 3206, 1189, 411, 3, 13909, 6135, 8308, 0, 0, 34, 1897, 2075, 2939, 93, 0, 0, 17, 42, 132, 2, 24878, 16442, 19758, 1, 0, 0, 316
33,0x11e5dc,2, 1055814,"  101c44:	e51b3010 	ldr	r3, [fp, #-16]
",benign, 342, 258, 2894, 1, 1783, 1088, 1, 522, 728, 0, 241, 24251, 524, 3, 93, 2800, 1427, 411, 3, 14157, 6508, 8276, 0, 0, 33, 1876, 2058, 2941, 96, 0, 0, 17, 33, 130, 2, 25040, 16263, 19557, 1, 0, 0, 316
