num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r0,23, 1087355,r3,19, 1087355,r0,28, 1087355, 1048,"  109778:	e5832008 	str	r2, [r3, #8]",benign, 469, 108, 19946, 4, 13907, 4325, 1, 3751, 5372, 0, 596, 79347, 5586, 3, 119, 4738, 1641, 495, 3, 32484, 13049, 63644, 0, 0, 462, 20360, 18579, 18953, 140, 0, 0, 19, 70, 125, 2, 79904, 71322, 74623, 1, 0, 0, 390,-
2,r0,17, 1087594,r2,24, 1087594,r3,26, 1087594, 1055,"  109868:	e3403012 	movt	r3, #18",benign, 498, 136, 23605, 3, 16429, 5094, 1, 4474, 6345, 1, 677, 92375, 6641, 3, 147, 5020, 1844, 473, 4, 37972, 13461, 73594, 0, 0, 542, 23636, 21293, 22282, 163, 0, 0, 19, 42, 125, 2, 92738, 84167, 87372, 1, 0, 0, 379,-
3,r1,15, 1087349,r3,22, 1087349,r2,23, 1087349, 1037,"  109774:	e51b2018 	ldr	r2, [fp, #-24]	; 0xffffffe8",benign, 622, 307, 14250, 3, 9904, 3262, 1, 2712, 3933, 0, 545, 64383, 4028, 3, 129, 4887, 1607, 477, 3, 28366, 12228, 46513, 0, 0, 342, 15015, 13539, 13686, 118, 0, 0, 19, 65, 136, 2, 64200, 56276, 59427, 1, 0, 0, 400,-
4,r2,30, 1087541,r2,14, 1087541,r1,14, 1087541, 1033,"  109834:	e3083448 	movw	r3, #33864	; 0x8448",benign, 624, 335, 24715, 2, 17171, 5414, 1, 4674, 6683, 0, 739, 96343, 7010, 3, 159, 4844, 1778, 495, 4, 39914, 14237, 77331, 0, 0, 572, 24822, 22267, 23483, 173, 0, 0, 19, 46, 125, 2, 96227, 88226, 91422, 2, 0, 0, 381,-
5,r1,24, 1087939,r1,28, 1087939,r0,22, 1087939, 1047,"  1099c0:	e51b37f0 	ldr	r3, [fp, #-2032]	; 0xfffff810",benign, 559, 324, 22221, 3, 15425, 4883, 1, 4182, 6044, 0, 667, 87757, 6320, 3, 145, 4862, 1794, 484, 3, 35800, 13003, 70429, 0, 0, 522, 22814, 20289, 21060, 155, 0, 0, 19, 43, 125, 2, 87657, 79197, 82404, 1, 0, 0, 389,-
7,r3,3, 1087559,r0,11, 1087559,r0,29, 1087559, 1047,"  109844:	e51b3010 	ldr	r3, [fp, #-16]",benign, 499, 135, 22247, 3, 15468, 4912, 1, 4182, 6044, 0, 684, 88221, 6320, 3, 146, 4750, 2263, 605, 3, 36487, 13558, 70313, 0, 0, 522, 22861, 20337, 21144, 154, 0, 0, 19, 42, 148, 4, 88331, 79992, 83171, 1, 0, 0, 379,-
9,r3,17, 1087429,r2,0, 1087429,r0,3, 1087429, 1054,"  1097c4:	e51b3008 	ldr	r3, [fp, #-8]",benign, 524, 135, 20396, 3, 14204, 4493, 1, 3875, 5554, 2, 659, 83431, 5790, 3, 145, 5047, 1625, 484, 3, 34977, 13504, 64830, 0, 0, 482, 20965, 18925, 19447, 148, 0, 0, 19, 66, 299, 2, 83893, 74686, 78017, 2, 0, 0, 399,-
11,r0,9, 1088248,r0,11, 1088248,r3,11, 1088248, 1036,"  109af8:	e7831182 	str	r1, [r3, r2, lsl #3]",benign, 420, 150, 21150, 5, 14711, 4671, 1, 4039, 5776, 1, 655, 85181, 6033, 3, 161, 5271, 1647, 491, 3, 35870, 12601, 67047, 0, 0, 502, 21669, 19442, 20149, 155, 0, 0, 18, 46, 135, 2, 85317, 77305, 80591, 2, 0, 0, 379,-
12,r0,25, 1088132,r0,5, 1088132,r1,5, 1088132, 1044,"  109a84:	e1530002 	cmp	r3, r2",benign, 553, 311, 19076, 6, 13273, 4229, 1, 3625, 5216, 1, 647, 78292, 5411, 3, 133, 4586, 1710, 492, 3, 32861, 12446, 60724, 0, 0, 442, 19437, 17774, 18182, 138, 0, 0, 18, 42, 138, 4, 78574, 70344, 73556, 2, 0, 0, 389,-
13,r0,11, 1087554,r1,13, 1087554,r2,5, 1087554, 1041,"  109840:	e5932000 	ldr	r2, [r3]",benign, 620, 322, 22161, 3, 15401, 4876, 1, 4175, 6037, 1, 678, 87944, 6313, 3, 146, 4599, 1742, 487, 3, 35901, 13125, 70356, 0, 0, 522, 22687, 20355, 21038, 158, 0, 0, 19, 66, 127, 2, 87358, 79081, 82268, 1, 0, 0, 380,-
