num,reg,pos,loc,reg,pos,loc,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,r3,4, 1081694,"  10815c:	e0211003 	eor	r1, r1, r3
",r1,13, 1081694,"  10815c:	e0211003 	eor	r1, r1, r3
",r1,25, 1081694,"  10815c:	e0211003 	eor	r1, r1, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,r2,12, 1071914,"  105b28:	e6ef3073 	uxtb	r3, r3
",r1,27, 1071914,"  105b28:	e6ef3073 	uxtb	r3, r3
",r2,5, 1071914,"  105b28:	e6ef3073 	uxtb	r3, r3
",SDC, 834, 229, 3897, 2, 3002, 871, 1, 324, 503, 12, 242, 45862, 293, 3, 237, 4989, 11202, 409, 11, 32639, 8330, 11752, 0, 0, 26, 3161, 3198, 3923, 38, 0, 0, 19, 23, 138, 2, 46002, 37747, 41436, 1, 0, 0, 317
2,r1,27, 1068214,"  104cb4:	e3403011 	movt	r3, #17
",r3,2, 1068214,"  104cb4:	e3403011 	movt	r3, #17
",r0,1, 1068214,"  104cb4:	e3403011 	movt	r3, #17
",SDC, 797, 1356, 3880, 3, 2967, 871, 1, 324, 503, 13, 232, 45462, 293, 3, 242, 4701, 11773, 410, 12, 32636, 8059, 11742, 0, 0, 26, 3178, 3170, 3912, 35, 0, 0, 17, 21, 126, 6, 45709, 37071, 40595, 2, 0, 0, 317
3,r1,13, 1067134,"  10487c:	e1a01003 	mov	r1, r3
",r0,14, 1067134,"  10487c:	e1a01003 	mov	r1, r3
",r2,23, 1067134,"  10487c:	e1a01003 	mov	r1, r3
",SDC, 759, 346, 3864, 2, 2962, 864, 1, 324, 504, 12, 237, 45449, 293, 3, 233, 3962, 11457, 409, 13, 31925, 7874, 11761, 0, 0, 26, 3197, 3166, 3921, 35, 0, 0, 19, 23, 127, 2, 45647, 37325, 40897, 1, 0, 0, 317
4,r2,2, 1072594,"  105dd0:	e51b3008 	ldr	r3, [fp, #-8]
",r2,27, 1072594,"  105dd0:	e51b3008 	ldr	r3, [fp, #-8]
",r1,24, 1072594,"  105dd0:	e51b3008 	ldr	r3, [fp, #-8]
",benign, 921, 355, 3823, 2, 2930, 841, 1, 340, 505, 13, 229, 45374, 294, 3, 243, 4248, 11775, 408, 16, 32750, 8374, 11644, 0, 0, 26, 3142, 3174, 3836, 35, 0, 0, 19, 23, 128, 2, 46247, 37726, 41188, 1, 0, 0, 316
5,r3,16, 1064657,"  103ed0:	e3403011 	movt	r3, #17
",r3,2, 1064657,"  103ed0:	e3403011 	movt	r3, #17
",r2,26, 1064657,"  103ed0:	e3403011 	movt	r3, #17
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,r3,17, 1068344,"  104d38:	e5932000 	ldr	r2, [r3]
",r0,1, 1068344,"  104d38:	e5932000 	ldr	r2, [r3]
",r1,28, 1068344,"  104d38:	e5932000 	ldr	r2, [r3]
",SDC, 625, 230, 3878, 4, 2993, 876, 1, 324, 504, 14, 241, 44928, 293, 3, 241, 4724, 11128, 632, 15, 31257, 7172, 11685, 0, 0, 26, 3164, 3184, 3908, 34, 0, 0, 19, 23, 137, 9, 45047, 36155, 39703, 1, 0, 0, 316
7,r1,1, 1082845,"  1085dc:	e1a03423 	lsr	r3, r3, #8
",r2,30, 1082845,"  1085dc:	e1a03423 	lsr	r3, r3, #8
",r1,3, 1082845,"  1085dc:	e1a03423 	lsr	r3, r3, #8
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,r3,0, 1068893,"  104f5c:	e7933100 	ldr	r3, [r3, r0, lsl #2]
",r0,14, 1068893,"  104f5c:	e7933100 	ldr	r3, [r3, r0, lsl #2]
",r1,19, 1068893,"  104f5c:	e7933100 	ldr	r3, [r3, r0, lsl #2]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,r1,15, 1069378,"  105140:	e3403011 	movt	r3, #17
",r1,1, 1069378,"  105140:	e3403011 	movt	r3, #17
",r0,4, 1069378,"  105140:	e3403011 	movt	r3, #17
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,r2,6, 1066851,"  104760:	e1a00003 	mov	r0, r3
",r1,27, 1066851,"  104760:	e1a00003 	mov	r0, r3
",r2,28, 1066851,"  104760:	e1a00003 	mov	r0, r3
",SDC, 682, 229, 3889, 2, 2997, 873, 1, 324, 504, 13, 232, 45381, 293, 3, 243, 4458, 11515, 419, 13, 32435, 7920, 11772, 0, 0, 26, 3184, 3176, 3928, 36, 0, 0, 19, 23, 128, 2, 46005, 37493, 41251, 1, 0, 0, 317
11,r2,25, 1077822,"  10723c:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",r3,22, 1077822,"  10723c:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",r1,17, 1077822,"  10723c:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,r3,0, 1076814,"  106e4c:	e2800c02 	add	r0, r0, #512	; 0x200
",r3,29, 1076814,"  106e4c:	e2800c02 	add	r0, r0, #512	; 0x200
",r2,7, 1076814,"  106e4c:	e2800c02 	add	r0, r0, #512	; 0x200
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,r2,10, 1063517,"  103a5c:	e51b3008 	ldr	r3, [fp, #-8]
",r2,2, 1063517,"  103a5c:	e51b3008 	ldr	r3, [fp, #-8]
",r1,27, 1063517,"  103a5c:	e51b3008 	ldr	r3, [fp, #-8]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,r1,1, 1070840,"  1056f8:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4
",r2,19, 1070840,"  1056f8:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4
",r0,21, 1070840,"  1056f8:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4
",SDC, 700, 228, 3884, 4, 2997, 876, 1, 324, 503, 13, 234, 44865, 293, 3, 240, 4425, 11535, 419, 10, 31241, 7107, 11673, 0, 0, 26, 3210, 3166, 3923, 37, 0, 0, 19, 23, 127, 4, 44961, 36127, 39693, 1, 0, 0, 317
15,r1,14, 1066669,"  1046ac:	e1a01003 	mov	r1, r3
",r1,12, 1066669,"  1046ac:	e1a01003 	mov	r1, r3
",r3,24, 1066669,"  1046ac:	e1a01003 	mov	r1, r3
",SDC, 746, 348, 3867, 2, 2961, 865, 1, 324, 504, 13, 231, 45726, 293, 3, 235, 4379, 11879, 419, 15, 32388, 7686, 11765, 0, 0, 26, 3175, 3169, 3928, 38, 0, 0, 19, 23, 137, 2, 46458, 37496, 41272, 1, 0, 0, 317
16,r3,24, 1063285,"  103974:	e51b3008 	ldr	r3, [fp, #-8]
",r3,10, 1063285,"  103974:	e51b3008 	ldr	r3, [fp, #-8]
",r0,23, 1063285,"  103974:	e51b3008 	ldr	r3, [fp, #-8]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,r1,7, 1077088,"  106f60:	e2800c01 	add	r0, r0, #256	; 0x100
",r3,7, 1077088,"  106f60:	e2800c01 	add	r0, r0, #256	; 0x100
",r2,24, 1077088,"  106f60:	e2800c01 	add	r0, r0, #256	; 0x100
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
