num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r1,1, 1049892,r3,19, 1049892,r1,28, 1049892, 1064,"  100524:	e50b3008 	str	r3, [fp, #-8]",benign, 263, 53, 1622, 4, 1149, 632, 1, 424, 711, 0, 272, 21774, 535, 3, 91, 3089, 1034, 412, 3, 14900, 7376, 8294, 0, 0, 34, 1887, 2061, 2933, 91, 0, 0, 19, 66, 120, 5, 25176, 17055, 20260, 1, 0, 0, 336,-
1,r0,4, 1050000,r2,31, 1050000,r3,11, 1050000, 1066,"  100590:	e1a01002 	mov	r1, r2",benign, 357, 219, 2866, 4, 1765, 1089, 1, 524, 721, 0, 249, 24501, 517, 3, 92, 3094, 1116, 411, 3, 14328, 6924, 8150, 0, 0, 33, 1869, 1993, 2897, 91, 0, 0, 19, 65, 119, 5, 25115, 17076, 20313, 1, 0, 0, 316,-
2,r0,25, 1050055,r3,21, 1050055,r1,26, 1050055, 1066,"  1005c4:	3affffe8 	bcc	10056c <init_search+0x74>",benign, 439, 198, 2865, 1, 1773, 1087, 1, 526, 725, 0, 254, 25143, 521, 3, 94, 3468, 1403, 426, 3, 15367, 7886, 8242, 0, 0, 33, 1893, 2029, 2914, 91, 0, 0, 19, 22, 127, 2, 26025, 17609, 21023, 1, 0, 0, 322,-
3,r1,13, 1050088,r1,17, 1050088,r3,30, 1050088, 1064,"  1005e8:	e28db00c 	add	fp, sp, #12",benign, 365, 219, 2892, 3, 1787, 1088, 0, 533, 738, 0, 252, 24795, 535, 3, 94, 3292, 1021, 424, 3, 14729, 7264, 8300, 0, 0, 34, 1889, 2075, 2930, 92, 0, 0, 19, 63, 119, 5, 25314, 17179, 20382, 1, 0, 0, 317,-
4,r0,28, 1050074,r0,27, 1050074,r1,14, 1050074, 1063,"  1005d8:	e320f000 	nop	{0}",benign, 460, 220, 2700, 2, 1661, 1065, 0, 516, 717, 0, 250, 22569, 514, 3, 94, 3361, 1065, 404, 3, 13210, 8258, 7986, 0, 0, 34, 1791, 1978, 2777, 92, 0, 0, 19, 65, 128, 2, 23163, 14911, 18094, 1, 0, 0, 316,-
5,r3,25, 1050041,r1,0, 1050041,r2,7, 1050041, 1064,"  1005b8:	e5933000 	ldr	r3, [r3]",benign, 455, 220, 2906, 2, 1792, 1092, 1, 533, 737, 0, 252, 25255, 535, 3, 95, 3385, 1206, 415, 3, 15440, 7804, 8353, 0, 0, 34, 1884, 2063, 2928, 91, 0, 0, 19, 74, 119, 2, 25809, 17830, 21202, 1, 0, 0, 323,-
6,r1,1, 1049876,r0,24, 1049876,r0,25, 1049876, 1063,"  100514:	e3083434 	movw	r3, #33844	; 0x8434",benign, 367, 207, 2701, 4, 1656, 1065, 2, 516, 717, 0, 253, 22033, 514, 3, 93, 3539, 1051, 411, 3, 12499, 7542, 7909, 0, 0, 34, 1779, 1985, 2776, 91, 0, 0, 19, 74, 127, 5, 22469, 14527, 17724, 1, 0, 0, 338,-
7,r1,17, 1050166,r3,0, 1050166,r3,7, 1050166, 1061,"  100634:	e3083034 	movw	r3, #32820	; 0x8034",benign, 422, 198, 2791, 2, 1713, 1079, 1, 516, 719, 0, 248, 24164, 516, 3, 92, 3442, 1102, 408, 3, 14434, 7868, 8133, 0, 0, 34, 1811, 2013, 2840, 92, 0, 0, 19, 71, 119, 2, 24918, 16609, 19883, 1, 0, 0, 318,-
8,r1,22, 1050296,r3,6, 1050296,r0,27, 1050296, 1059,"  1006b8:	e3a03000 	mov	r3, #0",benign, 333, 209, 2890, 3, 1782, 1087, 1, 532, 739, 0, 251, 24501, 536, 3, 92, 3340, 1221, 423, 3, 14501, 7072, 8319, 0, 0, 34, 1892, 2068, 2925, 92, 0, 0, 19, 22, 119, 5, 25100, 17308, 20554, 1, 0, 0, 318,-
9,r0,21, 1050120,r1,25, 1050120,r2,27, 1050120, 1066,"  100608:	fa004a3c 	blx	112f00 <strlen>",benign, 331, 201, 2841, 4, 1736, 1090, 0, 526, 724, 0, 254, 24832, 521, 3, 94, 3176, 1100, 402, 3, 14716, 7086, 8206, 0, 0, 33, 1873, 2030, 2915, 91, 0, 0, 19, 67, 119, 5, 25244, 17109, 20370, 1, 0, 0, 336,-
